Tempo,Carbon Monoxide
0,0.32851516852168594
1,0.3225121348627947
2,0.3165091012039034
3,0.31050606754501214
4,0.30450303388612077
5,0.3028730759855564
6,0.3012431180849921
7,0.29961316018442774
8,0.2979832022838634
9,0.2965276724259025
10,0.2948967551622419
11,0.2932658378985813
12,0.29163492063492064
13,0.29000400337126003
14,0.2805413681696867
15,0.2710787329681135
16,0.26161609776654027
17,0.252153462564967
18,0.24269082736339376
19,0.2332609581343074
20,0.22379699353751056
21,0.21439326869027545
22,0.2049266441821248
23,0.19314725491918483
24,0.18133906359803237
25,0.16957854017292284
26,0.15778921189538805
27,0.14601710179324895
28,0.13423836698086664
29,0.12243577195018993
30,0.11061428872942168
31,0.11038587542798177
32,0.1102350159579461
33,0.11000644184736694
34,0.10977786773678774
35,0.10954929362620856
36,0.1093207195156294
37,0.10910750833215979
38,0.10887890203257758
39,0.10866559859154928
40,0.1278094248826291
41,0.1469532511737089
42,0.16612047471474856
43,0.18534532365652004
44,0.2045575956207123
45,0.22371761347617702
46,0.24287763133164172
47,0.2620376491871064
48,0.28119766704257115
49,0.2617692416126304
50,0.24240915820642975
51,0.22297525380710653
52,0.20354134940778335
53,0.1841074450084602
54,0.164673540609137
55,0.14523963620981384
56,0.12580573181049065
57,0.10634183817310404
58,0.10061257929235973
59,0.09488332041161544
60,0.08915406153087117
61,0.08342480265012686
62,0.07769554376938258
63,0.0719460012683202
64,0.06621835717305524
65,0.0604821896576018
66,0.0638492731670659
67,0.06721635667652999
68,0.07058344018599408
69,0.07395052369545818
70,0.07731760720492226
71,0.08068469071438636
72,0.08403993261012492
73,0.08740654174884945
74,0.09077315088757397
75,0.09583129989668451
76,0.10088944890579508
77,0.10593267361600225
78,0.11097447769953053
79,0.11601486175656009
80,0.12105382638693324
81,0.12610912653712567
82,0.1311644266873181
83,0.13621972683751052
84,0.12931763822397443
85,0.12241554961043835
86,0.11551346099690227
87,0.10861137238336618
88,0.1017092837698301
89,0.09480719515629399
90,0.08790510654275789
91,0.08100301792922182
92,0.07410092931568571
93,0.07818512126865672
94,0.08226931322162771
95,0.08635350517459871
96,0.09043769712756969
97,0.09452188908054068
98,0.09860608103351168
99,0.10269027298648267
100,0.10677446493945367
101,0.10411343987609124
102,0.10145241481272878
103,0.09879138974936635
104,0.09613036468600394
105,0.09346933962264149
106,0.09080831455927905
107,0.08814728949591663
108,0.08548626443255418
109,0.08282523936919177
110,0.08490420421477517
111,0.08698316906035858
112,0.08906213390594198
113,0.09114109875152539
114,0.09322006359710877
115,0.09529902844269218
116,0.0973779932882756
117,0.09945695813385899
118,0.10153592297944242
119,0.12610734065521448
120,0.15067875833098654
121,0.17520083755630633
122,0.19976533760322823
123,0.2243298376501502
124,0.24878927465878709
125,0.2733049498217971
126,0.29785562628962675
127,0.3223609509073006
128,0.34304785513361463
129,0.3637800984528833
130,0.38445826887920126
131,0.4051875966811982
132,0.42591692448319507
133,0.44652066638549137
134,0.4672441656122593
135,0.4879676648390272
136,0.5086911640657951
137,0.5061715916280051
138,0.5036520191902152
139,0.5009211767495785
140,0.4984026665261383
141,0.49588415630269816
142,0.49336564607925804
143,0.49084713585581785
144,0.4883286256323778
145,0.4702082162263444
146,0.45208780682031097
147,0.43396739741427776
148,0.4158469880082443
149,0.39772657860221095
150,0.3796061691961777
151,0.3614857597901443
152,0.3433653503841109
153,0.3252449409780776
154,0.3321682710324152
155,0.33909160108675285
156,0.3460149311410905
157,0.35293826119542815
158,0.35986159124976574
159,0.3667849213041034
160,0.37370825135844105
161,0.3806315814127787
162,0.3875549114671163
163,0.3866113336143901
164,0.38566775576166384
165,0.3847241779089376
166,0.38378060005621134
167,0.38283702220348514
168,0.38189344435075884
169,0.38094986649803264
170,0.38000628864530633
171,0.3790627107925801
172,0.3581501501897133
173,0.3372375895868465
174,0.31632502898397974
175,0.295412468381113
176,0.2744999077782462
177,0.25362298840477865
178,0.2327074885804638
179,0.21179198875614896
180,0.19589763226955342
181,0.1799437251042692
182,0.16401287612485932
183,0.1480983731833099
184,0.13215632179865894
185,0.11620978474957794
186,0.1002587601425824
187,0.08429138408142207
188,0.0683528610641892
189,0.07554067398854782
190,0.08270923800807282
191,0.08987780202759785
192,0.09704636604712287
193,0.10421493006664787
194,0.11138349408617289
195,0.11855205810569792
196,0.12572062212522295
197,0.13288918614474796
198,0.1282958345067117
199,0.12370248286867548
200,0.11910913123063925
201,0.11451577959260302
202,0.10992242795456676
203,0.10532907631653055
204,0.10076410093896714
205,0.09616945539906101
206,0.09157480985915492
207,0.09737398415492958
208,0.10317315845070422
209,0.10897233274647887
210,0.11477150704225351
211,0.12057068133802817
212,0.12636985563380282
213,0.13216902992957746
214,0.1379682042253521
215,0.14217212441314556
216,0.14637604460093898
217,0.1505799647887324
218,0.15478388497652582
219,0.15898780516431926
220,0.1631917253521127
221,0.16739564553990607
222,0.17159956572769952
223,0.17580348591549294
224,0.18473978873239436
225,0.19362155026753028
226,0.20252681965366748
227,0.21145934816274817
228,0.2203608530405405
229,0.2291953355846348
230,0.2380893359594823
231,0.24716088431841507
232,0.25605635644129643
233,0.25150727377475113
234,0.2469234571854058
235,0.24234092981462027
236,0.23779312659756632
237,0.23324532338051235
238,0.22866536359425654
239,0.22411819983209816
240,0.21957103606993975
241,0.21502387230778133
242,0.20805593547359882
243,0.20108799863941637
244,0.19412006180523386
245,0.18715212497105138
246,0.1801841881368689
247,0.1732162513026864
248,0.1662483144685039
249,0.15928037763432143
250,0.15231244080013895
251,0.14712114630977882
252,0.1419298518194187
253,0.13673855732905857
254,0.13154726283869844
255,0.12635596834833834
256,0.12116467385797822
257,0.11597337936761808
258,0.11078208487725798
259,0.11947312413154237
260,0.12816416338582678
261,0.13685520264011114
262,0.14554624189439555
263,0.15423728114867993
264,0.16292832040296432
265,0.1716193596572487
266,0.1803103989115331
267,0.1890014381658175
268,0.18727576815076424
269,0.18555009813571097
270,0.1838244281206577
271,0.18209875810560444
272,0.18037308809055114
273,0.1786474180754979
274,0.17692174806044464
275,0.1751960780453914
276,0.17347040803033809
277,0.18494950367647056
278,0.196428599322603
279,0.2078784657131516
280,0.21935594754012952
281,0.23083342936710746
282,0.24231091119408546
283,0.2537883930210634
284,0.2652658748480413
285,0.2767433566750193
286,0.2936059561226958
287,0.3104685555703724
288,0.32733115501804905
289,0.34419375446572564
290,0.36105635391340224
291,0.37786583008959135
292,0.39472605919717124
293,0.41158628830475125
294,0.4154023729927732
295,0.41915953730726296
296,0.4229750856516887
297,0.4267906339961143
298,0.43054566994841786
299,0.43436068209999
300,0.43817569425156233
301,0.44180444820406034
302,0.4456178526808953
303,0.44854800624674646
304,0.45141474995869135
305,0.4543444919861202
306,0.4572742340135492
307,0.4602039760409782
308,0.46306868033240534
309,0.4659980109369966
310,0.4689273415415879
311,0.47185667214617905
312,0.47740091361920417
313,0.4829451550922293
314,0.48848939656525436
315,0.4940336380382795
316,0.49957787951130456
317,0.5051221209843297
318,0.5106663624573549
319,0.51621060393038
320,0.5217548454034051
321,0.5165027830293869
322,0.5113239802517467
323,0.5061451774741067
324,0.5009663746964667
325,0.4957875719188264
326,0.4906087691411863
327,0.4854299663635462
