Time,mp/A
0,0.45968789233762053
1,0.4596879050177947
2,0.45968790463548126
3,0.4605862810034379
4,0.4605862556656476
5,0.4605862564289824
6,0.460586256405986
7,0.4615947392210189
8,0.4615947108503232
9,0.461594711704262
10,0.4615947116785591
11,0.46114678251010954
12,0.46114679509866585
13,0.4611467947196078
14,0.4611467947310217
15,0.4620421979097505
16,0.4620421727548671
17,0.46204217351171134
18,0.4620421734889399
19,0.46159469948570647
20,0.4615947120463294
21,0.461594711668263
22,0.4615947116796426
23,0.4615947116793001
24,0.4615947116793104
25,0.46159471167931004
26,0.46159471167931004
27,0.46159471167931004
28,0.46159471167931004
29,0.46159471167931004
30,0.46159471167931004
31,0.4620421856851924
32,0.46204217312267193
33,0.4620421735006451
34,0.4615946994857062
35,0.4615947120463294
36,0.461594711668263
37,0.4615947116796426
38,0.4620421856851924
39,0.46204217312267193
40,0.4620421735006451
41,0.46204217348927273
42,0.462042173489615
43,0.4620421734896047
44,0.46204217348960497
45,0.46204217348960497
46,0.46204217348960497
47,0.46204217348960497
48,0.4629357614854765
49,0.46293573644188935
50,0.46293573719478825
51,0.4629357371721535
52,0.4639388675100196
53,0.46393883946731157
54,0.4639388403096271
55,0.4639388402843264
56,0.4629357099577751
57,0.4629357379909947
58,0.4629357371482167
59,0.46338185388277303
60,0.4633818414033582
61,0.46338184177838554
62,0.46338184176711533
63,0.46338184176745395
64,0.4633818417674438
65,0.46338184176744407
66,0.46338184176744407
67,0.46338184176744407
68,0.46338184176744407
69,0.46338184176744407
70,0.46338184176744407
71,0.46338184176744407
72,0.46338184176744407
73,0.46338184176744407
74,0.46338184176744407
75,0.46338184176744407
76,0.46338184176744407
77,0.46338184176744407
78,0.46338184176744407
79,0.46338184176744407
80,0.46338184176744407
81,0.46338184176744407
82,0.46338184176744407
83,0.46338184176744407
84,0.46338184176744407
85,0.46338184176744407
86,0.46338184176744407
87,0.46338184176744407
88,0.46338184176744407
89,0.4639388553922406
90,0.4639388398312918
91,0.4639388402986942
92,0.46438394701139524
93,0.4643839345936177
94,0.46438393496646246
95,0.4643839349552679
96,0.463381814611907
97,0.46338184258351345
98,0.4633818417429199
99,0.46338184176818115
100,0.46338184176742186
101,0.4633818417674448
102,0.46338184176744407
103,0.46338184176744407
104,0.46338184176744407
105,0.46338184176744407
106,0.46338184176744407
