Time,Etileno stde
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,3.0773529273564515e-11
50,6.15644153036285e-11
51,9.234662295544275e-11
52,1.23128830607257e-10
53,1.5391103825907124e-10
54,1.846932459108855e-10
55,2.1547545356269971e-10
56,2.46257661214514e-10
57,2.769617634620806e-10
58,2.4234154302932053e-10
59,2.0772132259656047e-10
60,1.7310110216380038e-10
61,1.384808817310403e-10
62,1.0386066129828023e-10
63,6.92209255214205e-11
64,3.461046276071025e-11
65,0.0
66,3.074329528908929e-11
67,6.148659057817858e-11
68,9.222988586726786e-11
69,1.2297318115635715e-10
70,1.5371647644544645e-10
71,1.8445977173453572e-10
72,2.15172748191979e-10
73,2.459117122194046e-10
74,2.7665067624683015e-10
75,2.459117122194046e-10
76,2.15172748191979e-10
77,1.844078039160445e-10
78,1.5365152582159627e-10
79,1.2290391024738297e-10
80,9.21649535342157e-11
81,6.144330235614379e-11
82,3.0721651178071896e-11
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,3.452640101379892e-11
94,6.905280202759785e-11
95,1.0357920304139678e-10
96,1.381056040551957e-10
97,1.7263200506899466e-10
98,2.0715840608279355e-10
99,2.416848070965925e-10
100,2.762112081103914e-10
101,2.7622359898620104e-10
102,2.7623598986201065e-10
103,2.762483807378203e-10
104,2.762607716136299e-10
105,2.7627316248943953e-10
106,2.7628555336524925e-10
107,2.7629794424105886e-10
108,2.7631033511686846e-10
109,2.7632272599267807e-10
110,2.7629848399511875e-10
111,2.762742419975594e-10
112,2.7625e-10
113,2.762257580024406e-10
114,2.7620151600488125e-10
115,2.761772740073219e-10
116,2.761530320097625e-10
117,2.761287900122031e-10
118,2.761045480146438e-10
119,2.454262649019056e-10
120,2.1474798178916737e-10
121,1.8401787725225228e-10
122,1.5334823104354355e-10
123,1.2267858483483484e-10
124,9.197009990150552e-11
125,6.130477396360908e-11
126,3.065238698180454e-11
127,0.0
128,1.244934364744491e-10
129,2.489868729488982e-10
130,3.7342778793418637e-10
131,4.979037172455819e-10
132,6.223796465569773e-10
133,7.46645578518206e-10
134,8.710865082712404e-10
135,9.955274380242747e-10
136,1.1199683677773092e-09
137,1.1200664276676508e-09
138,1.1201644875579924e-09
139,1.1197902613827993e-09
140,1.1198882799325463e-09
141,1.1199862984822934e-09
142,1.1200843170320405e-09
143,1.1201823355817875e-09
144,1.1202803541315344e-09
145,9.958047592280305e-10
146,8.713291643245268e-10
147,7.46853569421023e-10
148,6.223779745175191e-10
149,4.979023796140153e-10
150,3.734267847105115e-10
151,2.4895118980700773e-10
152,1.2447559490350387e-10
153,0.0
154,6.172733979763913e-11
155,1.2345467959527827e-10
156,1.8518201939291737e-10
157,2.4690935919055654e-10
158,3.0863669898819564e-10
159,3.7036403878583473e-10
160,4.32091378583474e-10
161,4.938187183811131e-10
162,5.555460581787521e-10
163,5.553218568484168e-10
164,5.550976555180814e-10
165,5.548734541877459e-10
166,5.546492528574105e-10
167,5.544250515270752e-10
168,5.542008501967397e-10
169,5.539766488664043e-10
170,5.53752447536069e-10
171,5.535282462057336e-10
172,5.188222491568296e-10
173,4.841162521079258e-10
174,4.494102550590219e-10
175,4.1470425801011806e-10
176,3.7999826096121415e-10
177,3.453407940969782e-10
178,3.1062991918482074e-10
179,2.7591904427266334e-10
180,2.453303341299967e-10
181,2.1466404236374717e-10
182,1.8402362204724407e-10
183,1.5339615564932023e-10
184,1.2273418671168004e-10
185,9.206359032076533e-11
186,6.138436283476387e-11
187,3.069218141738193e-11
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,1.531117835224641e-11
243,3.062235670449282e-11
244,4.593353505673923e-11
245,6.124471340898564e-11
246,7.655589176123204e-11
247,9.186707011347846e-11
248,1.0717824846572486e-10
249,1.2248942681797127e-10
250,1.3780060517021765e-10
251,1.2057552952394047e-10
252,1.0335045387766326e-10
253,8.612537823138603e-11
254,6.890030258510883e-11
255,5.167522693883163e-11
256,3.445015129255441e-11
257,1.7225075646277206e-11
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,7.64293644337656e-12
269,1.528587288675312e-11
270,2.2928809330129682e-11
271,3.057174577350624e-11
272,3.82146822168828e-11
273,4.5857618660259363e-11
274,5.350055510363593e-11
275,6.114349154701248e-11
276,6.878642799038906e-11
277,6.114349154701248e-11
278,5.350055510363593e-11
279,4.585117164512367e-11
280,3.820930970426974e-11
281,3.056744776341579e-11
282,2.2925585822561836e-11
283,1.5283723881707898e-11
284,7.641861940853949e-12
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,1.242463867849642e-10
295,2.48457848373362e-10
296,3.7268677256004295e-10
297,4.96915696746724e-10
298,6.210573324818966e-10
299,7.452687989782759e-10
300,8.694802654746552e-10
301,9.932729828214472e-10
302,1.117432105674128e-09
303,9.932729828214472e-10
304,8.689917934153997e-10
305,7.448501086417712e-10
306,6.207084238681426e-10
307,4.965667390945141e-10
308,3.7237275477667545e-10
309,2.4824850318445023e-10
310,1.2412425159222506e-10
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,1.2472569317111847e-10
330,2.4945138634223694e-10
331,3.741770795133554e-10
332,4.989027726844739e-10
333,6.235409144775418e-10
334,7.481440652145191e-10
335,8.728347427502725e-10
336,9.975254202860257e-10
337,1.1222160978217788e-09
338,9.975254202860257e-10
339,8.728347427502723e-10
