Time,Ammonia stde
0,21.888825683272326
1,21.966197383968336
2,22.043569084664348
3,22.120940785360357
4,22.19831248605637
5,22.399081613963187
6,22.599850741870004
7,22.800619869776817
8,23.001388997683634
9,23.215814487053425
10,23.416701783958423
11,23.617589080863418
12,23.818476377768413
13,24.019363674673407
14,24.307235332677813
15,24.595106990682215
16,24.882978648686613
17,25.170850306691015
18,25.458721964695414
19,25.75021073335207
20,26.038122834129442
21,26.333434045343825
22,26.62142706576729
23,27.5140227512298
24,28.402876844694305
25,29.299967049768032
26,30.193315874578175
27,31.091288238396622
28,31.98976593275183
29,32.88412172857745
30,33.77397636133389
31,34.05587214483373
32,34.36194264526424
33,34.64403689101661
34,34.92613113676897
35,35.208225382521356
36,35.490319628273724
37,35.77745153264799
38,36.059585504389055
39,36.34683802816902
40,36.79963615023475
41,37.25243427230047
42,37.71054373855473
43,38.179540116497556
44,38.64348510478339
45,39.09666619678602
46,39.54984728878864
47,40.00302838079128
48,40.456209472793915
49,40.000068132694295
50,39.55507849219778
51,39.09880851663846
52,38.64253854107914
53,38.18626856551983
54,37.729998589960516
55,37.273728614401186
56,36.81745863884187
57,36.35093741189738
58,36.03440495489146
59,35.71787249788554
60,35.40134004087961
61,35.0848075838737
62,34.76827512686778
63,34.44203248308906
64,34.125589240417135
65,33.80438213329576
66,33.90795758771311
67,34.011533042130466
68,34.11510849654783
69,34.21868395096519
70,34.32225940538255
71,34.42583485979991
72,34.52454564666104
73,34.62810650887574
74,34.731667371090445
75,34.194546585892745
76,33.65742580069503
77,33.115639526693904
78,32.5740058685446
79,32.03252476177064
80,31.491196141931848
81,30.954377874777055
82,30.417559607622266
83,29.88074134046747
84,30.212867267436394
85,30.544993194405325
86,30.877119121374257
87,31.20924504834318
88,31.541370975312116
89,31.873496902281044
90,32.205622829249975
91,32.5377487562189
92,32.86987468318783
93,32.792111817093776
94,32.714348950999714
95,32.63658608490566
96,32.5588232188116
97,32.48106035271754
98,32.40329748662349
99,32.325534620529425
100,32.24777175443537
101,32.363394114333985
102,32.47901647423261
103,32.59463883413123
104,32.71026119402985
105,32.82588355392847
106,32.941505913827086
107,33.05712827372571
108,33.17275063362433
109,33.28837299352295
110,33.09367901060734
111,32.89898502769172
112,32.70429104477612
113,32.509597061860504
114,32.314903078944894
115,32.12020909602928
116,31.925515113113672
117,31.730821130198063
118,31.53612714728245
119,30.872960668356328
120,30.209794189430205
121,29.53830940315315
122,28.8753296265015
123,28.21234984984985
124,27.537740959617274
125,26.871260082536114
126,26.208653395235416
127,25.542453228302154
128,25.244200656352554
129,24.949540553211442
130,24.651413303332866
131,24.356794637416208
132,24.06217597149956
133,23.760874455222837
134,23.466338628801726
135,23.171802802380626
136,22.877266975959515
137,22.62339466469844
138,22.36952235343737
139,22.10632641231029
140,21.852561129848233
141,21.59879584738617
142,21.345030564924116
143,21.091265282462054
144,20.8375
145,21.18293868278059
146,21.528377365561177
147,21.873816048341766
148,22.219254731122355
149,22.56469341390294
150,22.910132096683526
151,23.25557077946412
152,23.601009462244704
153,23.946448145025297
154,23.848680204234586
155,23.750912263443883
156,23.653144322653173
157,23.55537638186247
158,23.457608441071763
159,23.359840500281056
160,23.26207255949035
161,23.164304618699642
162,23.066536677908935
163,23.00217701892449
164,22.93781735994004
