Tempo,Ar/Ar Esteq
0,4.431209461733096
1,4.405722065057541
2,4.378033242353587
3,4.348784807647484
4,4.317576918312685
5,4.283759171420985
6,4.2472351175449
7,4.207669325600445
8,4.164910783549694
9,4.118537391056025
10,4.0686295726024015
11,4.01526129570755
12,3.9591717333179237
13,3.9011096008623176
14,3.8418171597549144
15,3.782127460864092
16,3.7229781458344458
17,3.665199493175366
18,3.6089133442247574
19,3.5540251462221755
20,3.5009194154410403
21,3.4497525858347413
22,3.4005809099977866
23,3.353010585780963
24,3.3073517235128014
25,3.2634352633771213
26,3.2211850168242524
27,3.1806541685373184
28,3.141295321485369
29,3.1027204152144012
30,3.064567711368123
31,3.026258204113364
32,2.987708789522863
33,2.9486089852537725
34,2.9097013968424834
35,2.8714993983665047
36,2.8344125877414355
37,2.7989348260209437
38,2.7657002310764245
39,2.734957063496257
40,2.7066063165469196
41,2.680554990662535
42,2.6565396842731994
43,2.634653796190017
44,2.6148196811982065
45,2.597139048019443
46,2.581576968893646
47,2.5680578801604432
48,2.556721475093259
49,2.5476414701309706
50,2.5410136074624283
51,2.536740313912005
52,2.5348208574033584
53,2.535302048616284
54,2.5381468339815227
55,2.5434977116007986
56,2.5514131195356846
57,2.561955941592153
58,2.5753585832581787
59,2.591179953716591
60,2.6089236417404953
61,2.628054188885235
62,2.6480162962283402
63,2.668255426730121
64,2.6877449189122657
65,2.706492517240798
66,2.7243523534754566
67,2.741182825120511
68,2.7566691355766966
69,2.77084653123217
70,2.783745430093022
71,2.7953951200687372
72,2.80719098153429
73,2.82018120498791
74,2.835693676977394
75,2.854678565607188
76,2.878252316512057
77,2.9079492357892787
78,2.943981530925497
79,2.986272263520622
80,3.03475767706042
81,3.0854003342663683
82,3.1331565861376505
83,3.1737807089214622
84,3.2037276807244854
85,3.222404976966338
86,3.229703868620422
87,3.2281664628706803
88,3.219508894724375
89,3.2061868241733293
90,3.1903650226953992
91,3.1731616824595825
92,3.1556792204765522
93,3.139188461394558
94,3.1246610265531274
95,3.111910528062447
96,3.10066339597776
97,3.0908130145304447
98,3.0821689322758066
99,3.0749797763585436
100,3.0694998364944235
101,3.0661579420794016
102,3.063082097378036
103,3.058381598835903
104,3.0501619075767725
105,3.036062744833485
106,3.0139356553448167
107,2.981312670293455
108,2.9374483211361526
109,2.882126858698639
110,2.8151128854307137
111,2.7420161285084217
112,2.669029940890636
113,2.6014825789352067
114,2.5443868179216818
115,2.499506681760209
116,2.4682794579475296
117,2.4478896082164843
118,2.4360227413892956
119,2.4302857907340014
120,2.4283983215930602
121,2.42996995110237
122,2.4348296088938097
123,2.442304961769862
124,2.452279611089201
125,2.4653149189860883
126,2.482129121836988
127,2.5020643647070955
128,2.5243830167124663
129,2.547083177798228
130,2.569086543554715
131,2.58890522360778
132,2.6062282743550838
133,2.622082280656958
134,2.6373616837756297
135,2.6540908097444547
136,2.6730739854618264
137,2.6951274116308506
138,2.7214974285668667
139,2.753195044705793
140,2.7911929638932373
141,2.83384489421033
142,2.879802116707883
143,2.927757190332995
144,2.974930381495828
145,3.0188922550347685
146,3.0571873379529753
147,3.090360330842545
148,3.119161563220631
149,3.1443359186083537
150,3.166849063397625
151,3.1862230510500225
152,3.2024660367329574
153,3.215577331030575
154,3.2253703945027854
155,3.2314341766283166
156,3.2332893984188282
157,3.232929621683276
158,3.232375632973001
159,3.234570551503092
160,3.24038508801407
161,3.250921060057603
162,3.2669688443330185
163,3.286696035684524
164,3.307908075144743
165,3.3284318352611986
166,3.3483844966545484
167,3.367685780204265
168,3.3854122999134004
169,3.400849316801324
170,3.412841506415522
171,3.420967248393286
172,3.4249633404819537
173,3.4245244141378737
174,3.420696654873128
175,3.4145084406802333
176,3.406888009663535
177,3.397642495516455
178,3.3867713867597713
179,3.374166091410363
180,3.3597988775096983
181,3.3434296128368537
182,3.3243232422347915
183,3.3021714557884945
184,3.277130871076681
185,3.249495017874609
186,3.219453665538437
187,3.1863631312085166
188,3.149496092444466
189,3.1082489730875746
190,3.062596953109011
191,3.0125172101221596
192,2.958229268472407
193,2.9012495245245455
194,2.8434861982796042
195,2.7862051551752014
196,2.729275185049982
197,2.672695195804986
198,2.616463895176104
199,2.5602272015718537
200,2.504339890793168
201,2.4493938375409914
202,2.396179741847227
203,2.345543287920358
204,2.298066224475817
205,2.2541743959550438
206,2.2142778071618925
207,2.178388506930781
208,2.1460792634993378
209,2.1170329366883283
210,2.0908488776876917
211,2.0684468496218127
212,2.0506037231394574
213,2.0376673644599754
214,2.0291517430805235
215,2.0243949558965038
216,2.022809785546621
217,2.0229818477870714
218,2.023735518874491
219,2.024125324229158
220,2.024321192530755
221,2.024477245254332
222,2.0247355178529665
223,2.025229094735513
224,2.0264820620107082
225,2.0289285909634125
226,2.0330216292527084
227,2.0391076150795744
228,2.047639356323145
229,2.0591055112742644
230,2.073473504509536
231,2.0907156987321565
232,2.110154133027337
233,2.1310679391908414
234,2.1524534554512957
235,2.173458228464512
236,2.1930356125877903
237,2.210355359285443
238,2.2254257100891914
239,2.238090054617682
240,2.248526243686426
241,2.256437118694908
242,2.2615599540112683
243,2.26423520185198
244,2.2652171413206377
245,2.2652120357060213
246,2.2649532324449773
247,2.265579631760385
248,2.2682297094134816
249,2.273177538987297
250,2.280067892395498
251,2.288790430479349
252,2.299176487829707
253,2.3110696262211694
254,2.323538206333947
255,2.3356154342715465
256,2.346493523779996
257,2.355356881517519
258,2.3614639985536936
259,2.3641311720624603
260,2.3635254404388486
261,2.3597811375391298
262,2.3534305605063746
263,2.345046528593402
264,2.3356538974081467
265,2.326024764188827
266,2.3171084145964485
267,2.3097591108407136
268,2.304195881149304
269,2.3009695582162397
270,2.3000521212405722
271,2.3014189164312358
272,2.305051704591141
273,2.310518952789259
274,2.3174199724939784
275,2.325531640631351
276,2.3350384031120304
277,2.3465248159005956
278,2.360539774509432
279,2.3783453979388165
280,2.4014192992258363
281,2.431421050838325
282,2.4696386289804404
283,2.5175951253480786
284,2.5779372973075003
285,2.6540985929493135
286,2.750530729197236
287,2.8733971917044414
288,3.031572769380954
289,3.2313260502007
290,3.4777045983598325
291,3.7744739938801555
292,4.120870588139785
293,4.509136247660371
294,4.921886388404944
295,5.362906566922026
296,5.835532769192696
297,6.343793959187054
298,6.890869967570175
299,7.48443361166625
300,8.132272633406151
301,8.844277848720925
302,9.631300736239137
303,10.51214702720636
304,11.51009891480901
305,12.658146170320064
306,13.858225271280158
307,14.984201093126075
308,15.946142201651032
309,16.71721830009177
310,17.310691595074594
311,17.75591692492156
312,18.098838390343104
313,18.36475140629088
314,18.56807922924095
315,18.717027216900437
316,18.815356589350476
317,18.86320631861368
318,18.856301586916974
319,18.794751955828957
320,18.67763863130477
321,18.50435853953031
322,18.27827487170719
323,18.009312283501203
324,17.716931288542842
325,17.39698379258278
326,17.045957182145962
327,16.65964128021747
328,16.234547850634254
329,15.762924280316973
330,15.236968489280894
331,14.64696893650399
332,13.981789204672339
333,13.222681755964377
334,12.346346985920317
335,11.319687238138437
336,10.240252688227347
337,9.233257872372295
338,8.387732423528007
339,7.7291049534233975
340,7.242977555572185
341,6.898251351590155
342,6.648091320015124
343,6.4652609908752945
344,6.333065398763783
345,6.240412308221363
346,6.1795586632511625
347,6.144487217617149
348,6.130699789265431
349,6.132108351096736
350,6.1443000532742795
351,6.163851148854124
352,6.187917964801351
353,6.214278215766192
354,6.240630941198209
355,6.267166036267978
356,6.2938857090785305
357,6.320792211058663
358,6.348079617045941
359,6.375559301394445
360,6.403233646365947
361,6.430910755635826
362,6.458786550958199
363,6.486863522252195
364,6.515144209182514
365,6.543631196178136
366,6.572327113631951
367,6.601234638942547
368,6.630812381263878
369,6.660810855117967
370,6.691032440674224
371,6.72148005078711
372,6.7515161080353145
373,6.781781124467243
374,6.812278122814813
375,6.843481765756047
376,6.874926031267553
377,6.906783935868559
378,6.939232579382134
379,6.972075061869311
380,7.005109231525865
381,7.03812867777114
382,7.070923779591076
383,7.103106657091321
384,7.134284442912696
385,7.164447894832864
386,7.18632619831274
387,7.194246234195744
388,7.184109507255354
389,7.157991684625304
390,7.117612717779666
391,7.064413130853645
392,7.002746121737769
393,6.936191027245821
394,6.867561429390703
395,6.796858156412001
396,6.724081675621951
397,6.6494240985114965
398,6.572236183859306
399,6.492971014358297
400,6.411627624493606
401,6.328017091097697
402,6.242558823063824
403,6.1550195881209415
404,6.0653970425854125
405,5.97321692287857
406,5.87894535902839
407,5.782578916189732
408,5.6841138236632816
409,5.5837609713640015
410,5.481736488221414
411,5.378260752608339
412,5.2735573473780315
413,5.1678519721364085
414,5.061371326398781
415,4.9542973503855
416,4.85612391868107
417,4.775090215119309
418,4.718240319763881
419,4.684601366394124
420,4.673076184853634
421,4.683322729011529
422,4.708020848351312
423,4.739633597041288
424,4.771479461946535
425,4.8035525305577345
426,4.836216375795423
427,4.868902643968921
428,4.901798976996741
429,4.934899998242198
430,4.967836587420518
431,5.001236781200164
432,5.034985615587484
433,5.069155627521451
434,5.104178431858034
435,5.139764125227197
436,5.17598303643195
437,5.212826321964426
438,5.250285290316457
439,5.28835139831579
440,5.32701624789094
441,5.366093121922378
442,5.405752569284797
443,5.445986603037194
444,5.486787374477699
445,5.528099060849714
446,5.567815014558139
447,5.603485629011254
448,5.632395076930556
449,5.65385233846173
450,5.66729420861013
451,5.671736828645674
452,5.670265562571049
453,5.6669607961776265
454,5.665697453907501
455,5.666487820495918
456,5.668975270269388
457,5.673543681300503
458,5.680206633908806
459,5.688978179643055
460,5.70023671504786
461,5.712126440687867
462,5.723157950451222
463,5.731523993246035
464,5.735929447293743
465,5.735569933993541
466,5.729460103287664
467,5.717966420008286
468,5.702043493401033
469,5.682522736567826
470,5.659983449753515
471,5.635429969194536
472,5.6092953313354075
473,5.582153018432051
474,5.553527220938209
475,5.5237179234591345
476,5.492531865482477
477,5.459779578929282
478,5.424868138441084
479,5.3872262406286895
480,5.346371979103975
481,5.301744332449626
482,5.253097092794742
483,5.200072295970876
484,5.142463837253829
485,5.080244341999964
486,5.01370137105783
487,4.942948002810008
488,4.868088403938741
489,4.7893658878569605
490,4.70671843556219
491,4.622100386994038
492,4.5374173576741965
493,4.454859106026214
494,4.37576543444056
495,4.301694296628913
496,4.234134599997924
497,4.172657263099358
498,4.116074328354748
499,4.063317924607998
500,4.013527058205613
501,3.965598009166661
502,3.917733554051636
503,3.868279900041571
504,3.817239162299391
505,3.763431330813981
506,3.7065263283279717
507,3.6463279788478307
508,3.583618319982163
509,3.5190454173749246
510,3.4534432434718725
511,3.387608209933734
512,3.3223868217289745
513,3.258626640406285
514,3.197067690044354
515,3.1380619350684715
516,3.0817664859831937
517,3.0284323562691573
518,2.977936732141558
519,2.930088173748268
520,2.8845052154416435
521,2.8402926421532952
522,2.7966901594094713
523,2.7528580950847634
524,2.708021437693907
525,2.661457152017511
526,2.6128600252180783
527,2.562294837899919
528,2.5101843981751193
529,2.456876565174286
530,2.4028809753910534
531,2.3486294393710505
532,2.2956305640301777
533,2.2451499542341016
534,2.1978413072482113
535,2.154637051776466
536,2.1161145617077297
537,2.0827754140735992
538,2.0541404906807084
539,2.0297180605152887
540,2.0091520013353996
541,1.9920308777799394
542,1.9773577146762742
543,1.9642366089274317
544,1.9517271259653277
545,1.9393438667792522
546,1.9263779225690887
547,1.9122781186094309
548,1.8970248640731848
549,1.880583224058388
550,1.8636170777956453
551,1.8465210774075358
552,1.8299397616795086
553,1.8144495632417443
554,1.8005382732351756
555,1.7887757925506547
556,1.778903145114213
557,1.7709513247872846
558,1.7646973451364136
559,1.760133547442175
560,1.7570699351119088
561,1.7553924498862523
562,1.7548098765753446
563,1.754874687521521
564,1.7552075696615597
565,1.7554278971637634
566,1.7553875938652987
567,1.7546496413709953
568,1.7531146113982206
569,1.7508964722209444
570,1.7483685376943445
571,1.7460302184384493
572,1.74450356749661
573,1.7445107153606139
574,1.7468257958993265
575,1.7521096641269875
576,1.7607894670685256
577,1.773236512791288
578,1.7896981783190877
579,1.8103959589198915
580,1.8353050870197658
581,1.864785281123103
582,1.8988365632174742
583,1.9377020645446386
584,1.98139349415414
585,2.030491061419703
586,2.085160938882425
587,2.1454969464886156
588,2.211346979873517
589,2.2827873503722054
590,2.3596206846583794
591,2.441379645038324
592,2.5286567634456767
593,2.6241223227685944
594,2.731171100198857
595,2.8539257640542424
596,2.9981876371207785
597,3.1722745670254793
598,3.3897368775637937
599,3.6664314139263205
600,4.011142327687694
601,4.427379304933364
602,4.915645407680399
603,5.4656638102483655
604,6.051239495454313
605,6.634456561819319
606,7.215133893794543
607,7.793068681373181
608,8.368032811221713
609,8.939768474779735
610,9.508060258667529
611,10.072499720598255
612,10.632702504360966
613,11.188223708113847
614,11.738852743943998
615,12.283689225396813
616,12.822547803288908
617,13.355301020668744
618,13.882134030701799
619,14.402866303465476
620,14.918447097540252
621,15.428513041427792
622,15.932439283811622
623,16.427817310182938
624,16.911451185573966
625,17.379420346736154
626,17.82589172818678
627,18.242742608914416
628,18.616572708178467
629,18.931404631235328
630,19.17801548562219
631,19.35307907384907
632,19.45510681840215
633,19.493926625159695
634,19.49534841351296
635,19.496138681059655
636,19.496928966355156
637,19.49771925111621
638,19.498509535893366
639,19.499299820670032
640,19.500090105446713
641,19.500880390223394
642,19.501670675000074
643,19.501037681631516
644,19.50040472833747
645,19.49977177383565
646,19.50119361832469
647,19.502615404968605
648,19.504037193353618
649,19.50545898168622
650,19.506090463649283
651,19.506721967856972
652,19.507353471394847
653,19.50656314780283
654,19.50577286419551
655,19.504982579383597
656,19.504192294607975
657,19.503402009831262
658,19.50261172505458
659,19.501821440277908
660,19.501821461872346
661,19.501189940432454
662,19.500558437413257
663,19.499926933839603
664,19.497872152137372
665,19.496448931296044
666,19.4980914810993
667,19.50595337024771
668,19.524834649774363
669,19.556924667218645
670,19.606277663607326
671,19.678236253400655
672,19.773538566265028
673,19.895167583456352
674,20.043421383651935
675,20.22020627714959
676,20.425586059730396
677,20.66397926006438
678,20.93803388224315
679,21.250729913003127
680,21.605437150154643
681,22.005986292948922
682,22.456757009703292
683,22.96420992249425
684,23.532760333196862
685,24.16922189585437
686,24.88161531338134
687,25.679471404784966
688,26.57423558185291
689,27.579817468255392
690,28.712562683499414
691,29.99470516937479
692,31.45357209594201
693,33.12474331343399
694,35.05716956530975
695,37.31492614491107
696,39.91072395373118
697,42.83680799771283
698,46.05387169185251
699,49.48901619962663
700,53.03318342978102
701,56.550627024733195
702,60.04472701234734
703,63.513923570294885
704,66.95649530526859
705,70.37053594814485
706,73.75392690294711
707,77.10430449784137
708,80.4190206691498
709,83.69509543192939
710,86.92915898831592
711,90.11738063905973
712,93.2594987576593
713,96.34635639162181
714,99.37211649117137
715,102.32996543986576
716,105.2118825336575
717,108.00833695357366
718,110.70788328782547
