Time,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
72,324.0,296.0,194.0,249.0,167.0,131.0,92.0,74.0,-5.0,10.0,28.0,0.0
73,324.0,296.0,194.0,249.0,167.0,131.0,92.0,74.0,-5.0,10.0,28.0,0.0
74,322.0,292.0,192.0,247.0,164.0,127.0,89.0,71.0,-6.0,6.0,25.0,0.0
75,322.0,292.0,192.0,247.0,164.0,127.0,89.0,71.0,-6.0,6.0,25.0,0.0
76,322.0,292.0,192.0,247.0,164.0,127.0,89.0,71.0,-6.0,6.0,25.0,0.0
77,322.0,292.0,192.0,247.0,164.0,127.0,89.0,71.0,-6.0,6.0,25.0,0.0
78,320.0,291.0,190.0,246.0,163.0,126.0,88.0,70.0,-7.0,6.0,23.0,0.0
79,320.0,291.0,190.0,246.0,163.0,126.0,88.0,70.0,-7.0,6.0,23.0,0.0
80,320.0,291.0,190.0,246.0,163.0,126.0,88.0,70.0,-7.0,6.0,23.0,0.0
81,320.0,289.0,189.0,245.0,163.0,126.0,86.0,68.0,-3.0,6.0,22.0,0.0
82,320.0,289.0,189.0,245.0,163.0,126.0,86.0,68.0,-3.0,6.0,22.0,0.0
83,320.0,289.0,189.0,245.0,163.0,126.0,86.0,68.0,-3.0,6.0,22.0,0.0
84,320.0,289.0,189.0,245.0,163.0,126.0,86.0,68.0,-3.0,6.0,22.0,0.0
85,318.0,289.0,189.0,245.0,162.0,124.0,86.0,68.0,-4.0,5.0,21.0,0.0
86,318.0,289.0,189.0,245.0,162.0,124.0,86.0,68.0,-4.0,5.0,21.0,0.0
87,318.0,289.0,189.0,245.0,162.0,124.0,86.0,68.0,-4.0,5.0,21.0,0.0
88,318.0,289.0,189.0,245.0,162.0,124.0,86.0,68.0,-4.0,5.0,21.0,0.0
89,314.0,285.0,185.0,241.0,157.0,120.0,82.0,64.0,-6.0,1.0,17.0,0.0
90,314.0,285.0,185.0,241.0,157.0,120.0,82.0,64.0,-6.0,1.0,17.0,0.0
91,314.0,285.0,185.0,241.0,157.0,120.0,82.0,64.0,-6.0,1.0,17.0,0.0
92,315.0,286.0,185.0,239.0,157.0,121.0,82.0,63.0,-5.0,2.0,17.0,0.0
93,315.0,286.0,185.0,239.0,157.0,121.0,82.0,63.0,-5.0,2.0,17.0,0.0
94,315.0,286.0,185.0,239.0,157.0,121.0,82.0,63.0,-5.0,2.0,17.0,0.0
95,315.0,286.0,185.0,239.0,157.0,121.0,82.0,63.0,-5.0,2.0,17.0,0.0
96,314.0,283.0,182.0,239.0,156.0,119.0,81.0,62.0,-4.0,2.0,15.0,0.0
97,314.0,283.0,182.0,239.0,156.0,119.0,81.0,62.0,-4.0,2.0,15.0,0.0
98,314.0,283.0,182.0,239.0,156.0,119.0,81.0,62.0,-4.0,2.0,15.0,0.0
99,314.0,283.0,182.0,239.0,156.0,119.0,81.0,62.0,-4.0,2.0,15.0,0.0
100,313.0,285.0,183.0,238.0,155.0,118.0,79.0,61.0,-4.0,1.0,14.0,0.0
101,313.0,285.0,183.0,238.0,155.0,118.0,79.0,61.0,-4.0,1.0,14.0,0.0
102,313.0,285.0,183.0,238.0,155.0,118.0,79.0,61.0,-4.0,1.0,14.0,0.0
103,312.0,283.0,180.0,237.0,155.0,117.0,78.0,60.0,-3.0,2.0,13.0,0.0
104,312.0,283.0,180.0,237.0,155.0,117.0,78.0,60.0,-3.0,2.0,13.0,0.0
105,312.0,283.0,180.0,237.0,155.0,117.0,78.0,60.0,-3.0,2.0,13.0,0.0
106,312.0,283.0,180.0,237.0,155.0,117.0,78.0,60.0,-3.0,2.0,13.0,0.0
107,310.0,279.0,177.0,233.0,154.0,114.0,76.0,57.0,-4.0,1.0,10.0,0.0
108,310.0,279.0,177.0,233.0,154.0,114.0,76.0,57.0,-4.0,1.0,10.0,0.0
109,310.0,279.0,177.0,233.0,154.0,114.0,76.0,57.0,-4.0,1.0,10.0,0.0
110,306.0,277.0,176.0,232.0,149.0,110.0,72.0,54.0,-7.0,-3.0,6.0,0.0
111,306.0,277.0,176.0,232.0,149.0,110.0,72.0,54.0,-7.0,-3.0,6.0,0.0
112,306.0,277.0,176.0,232.0,149.0,110.0,72.0,54.0,-7.0,-3.0,6.0,0.0
113,306.0,277.0,176.0,232.0,149.0,110.0,72.0,54.0,-7.0,-3.0,6.0,0.0
114,304.0,276.0,174.0,230.0,147.0,108.0,70.0,52.0,-6.0,-2.0,4.0,0.0
115,304.0,276.0,174.0,230.0,147.0,108.0,70.0,52.0,-6.0,-2.0,4.0,0.0
116,304.0,276.0,174.0,230.0,147.0,108.0,70.0,52.0,-6.0,-2.0,4.0,0.0
117,304.0,276.0,174.0,230.0,147.0,108.0,70.0,52.0,-6.0,-2.0,4.0,0.0
118,301.0,272.0,172.0,227.0,145.0,106.0,68.0,50.0,-6.0,-3.0,3.0,0.0
119,301.0,272.0,172.0,227.0,145.0,106.0,68.0,50.0,-6.0,-3.0,3.0,0.0
120,301.0,272.0,172.0,227.0,145.0,106.0,68.0,50.0,-6.0,-3.0,3.0,0.0
121,301.0,272.0,172.0,227.0,145.0,106.0,68.0,50.0,-6.0,-3.0,3.0,0.0
122,302.0,273.0,172.0,227.0,145.0,106.0,67.0,50.0,-5.0,1.0,6.0,0.0
123,302.0,273.0,172.0,227.0,145.0,106.0,67.0,50.0,-5.0,1.0,6.0,0.0
124,302.0,273.0,172.0,227.0,145.0,106.0,67.0,50.0,-5.0,1.0,6.0,0.0
125,299.0,270.0,169.0,222.0,141.0,102.0,63.0,46.0,-7.0,-3.0,0.0,0.0
126,299.0,270.0,169.0,222.0,141.0,102.0,63.0,46.0,-7.0,-3.0,0.0,0.0
127,299.0,270.0,169.0,222.0,141.0,102.0,63.0,46.0,-7.0,-3.0,0.0,0.0
128,299.0,270.0,169.0,222.0,141.0,102.0,63.0,46.0,-7.0,-3.0,0.0,0.0
129,297.0,267.0,167.0,223.0,141.0,102.0,63.0,46.0,-4.0,-1.0,2.0,0.0
130,297.0,267.0,167.0,223.0,141.0,102.0,63.0,46.0,-4.0,-1.0,2.0,0.0
131,297.0,267.0,167.0,223.0,141.0,102.0,63.0,46.0,-4.0,-1.0,2.0,0.0
132,295.0,264.0,163.0,221.0,139.0,100.0,60.0,44.0,-3.0,-1.0,1.0,0.0
133,295.0,264.0,163.0,221.0,139.0,100.0,60.0,44.0,-3.0,-1.0,1.0,0.0
