Tempo,Carbon Dioxide stde
0,0.7967887155747256
1,0.8043707468208522
2,0.8119527780669789
3,0.8195348093131057
4,0.8271168405592324
5,0.839072204939006
6,0.8510275693187797
7,0.8629829336985533
8,0.8749382980783267
9,0.8874156716767336
10,0.8993780727630285
11,0.9113404738493234
12,0.9233028749356185
13,0.9352652760219133
14,0.9611193519689095
15,0.9869734279159058
16,1.012827503862902
17,1.0386815798098983
18,1.0645356557568948
19,1.0905429193593708
20,1.1164006275170926
21,1.142579375117107
22,1.1684443507588531
23,1.2551860066760363
24,1.3417634399156713
25,1.428742487347111
26,1.515557332677165
27,1.602621967299578
28,1.6897355972144064
29,1.776648242929506
30,1.8633231321232586
31,1.8772758078889353
32,1.8925599596357832
33,1.9065224584624045
34,1.9204849572890264
35,1.934447456115648
36,1.9484099549422693
37,1.9626488053325821
38,1.9766132704313948
39,1.9908580985915494
40,2.002887441314554
41,2.0149167840375584
42,2.027231652345401
43,2.0401248355881245
44,2.0527395216614983
45,2.0647790386241893
46,2.076818555586881
47,2.0888580725495722
48,2.1008975895122637
49,2.071344211070388
50,2.042366633765745
51,2.0128049210377887
52,1.9832432083098321
53,1.953681495581876
54,1.9241197828539196
55,1.8945580701259634
56,1.8649963573980068
57,1.8349171835353821
58,1.8218076455455317
59,1.808698107555681
60,1.7955885695658302
61,1.7824790315759795
62,1.7693694935861288
63,1.7557649556087933
64,1.742659112528185
65,1.7293095674228545
66,1.7353314780893334
67,1.7413533887558121
68,1.747375299422291
69,1.7533972100887696
70,1.7594191207552483
71,1.765441031421727
72,1.77121336996337
73,1.7772344322344324
74,1.7832554945054946
75,1.7376324316708933
76,1.6920093688362918
77,1.6461543879419638
78,1.6003123239436619
79,1.5544831713843121
80,1.5086669248099125
81,1.4630695578710222
82,1.4174721909321317
83,1.3718748239932412
84,1.41322608654839
85,1.4545773491035388
86,1.4959286116586876
87,1.5372798742138365
88,1.578631136768985
89,1.619982399324134
90,1.6613336618792824
91,1.7026849244344315
92,1.7440361869895802
93,1.725044353703182
94,1.706052520416784
95,1.6870606871303855
96,1.6680688538439872
97,1.6490770205575893
98,1.6300851872711912
99,1.6110933539847927
100,1.5921015206983944
101,1.603057120060077
102,1.6140127194217586
103,1.624968318783441
104,1.6359239181451235
105,1.6468795175068054
106,1.6578351168684873
107,1.6687907162301696
108,1.6797463155918517
109,1.6907019149535338
110,1.675047052473481
111,1.6593921899934287
112,1.6437373275133764
113,1.6280824650333237
114,1.612427602553271
115,1.5967727400732188
116,1.5811178775931662
117,1.5654630151131137
118,1.5498081526330607
119,1.492509844644701
120,1.4352115366563407
121,1.3775253026463965
122,1.3202431259384384
123,1.2629609492304807
124,1.2051698325594484
125,1.1477503399924969
126,1.0905003986118926
127,1.0331051132367421
128,1.0093834857008908
129,0.9858071612751993
130,0.9620955210237659
131,0.938522512070501
132,0.9149495031172361
133,0.8911258610993957
134,0.867559480294297
135,0.8439930994891982
136,0.8204267186840997
137,0.810024172290173
138,0.7996216258962464
139,0.788886356450253
140,0.7784881956155144
141,0.7680900347807758
142,0.757691873946037
143,0.7472937131112984
144,0.7368955522765598
145,0.7646659991568295
146,0.7924364460370995
147,0.8202068929173693
148,0.8479773397976392
149,0.8757477866779089
150,0.9035182335581786
151,0.9312886804384485
152,0.9590591273187185
153,0.9868295741989882
154,0.9684041830616451
155,0.949978791924302
156,0.931553400786959
157,0.9131280096496158
158,0.8947026185122728
159,0.8762772273749299
160,0.8578518362375867
161,0.8394264451002437
162,0.8210010539629007
163,0.8257622962338391
164,0.830523538504778
165,0.8352847807757168
166,0.8400460230466554
167,0.8448072653175942
168,0.8495685075885329
169,0.8543297498594716
170,0.8590909921304104
171,0.8638522344013492
172,0.8961182546374369
173,0.9283842748735246
174,0.9606502951096122
175,0.9929163153456999
176,1.0251823355817877
177,1.0575969782150385
178,1.0898675333801828
179,1.1221380885453267
180,1.1765374431791555
181,1.2306212802849246
182,1.2848857564679412
183,1.33935384435068
184,1.3936565152154545
185,1.4479744653911089
186,1.5023077013273298
187,1.5564371980676324
188,1.6112468327702703
189,1.5971826011452173
190,1.582664624988266
191,1.568146648831315
192,1.5536286726743638
193,1.5391106965174128
194,1.5245927203604617
195,1.5100747442035107
196,1.4955567680465593
197,1.4810387918896082
198,1.5032854594949776
199,1.525532127100347
200,1.5477787947057162
201,1.5700254623110859
202,1.592272129916455
203,1.6145187975218245
204,1.6372265258215963
205,1.6594794600938965
206,1.6817323943661973
207,1.6528517165492957
208,1.6239710387323942
209,1.5950903609154927
210,1.5662096830985917
211,1.5373290052816901
212,1.5084483274647886
213,1.4795676496478873
214,1.450686971830986
215,1.4256870892018778
216,1.40068720657277
217,1.375687323943662
218,1.3506874413145542
219,1.3256875586854457
220,1.3006876760563377
221,1.27568779342723
222,1.250687910798122
223,1.225688028169014
224,1.1915334389671361
225,1.1570529193654369
226,1.1227498592144167
227,1.0886096954338542
228,1.0543210984421922
229,1.019755100605037
230,0.9854954863065093
231,0.9519389727399119
232,0.9176736516056696
233,0.912775005812847
234,0.9077486699553238
235,0.9027237477768495
236,0.8978264797496835
237,0.8929292117225177
238,0.8879070798112552
239,0.8830105003763314
240,0.8781139209414078
241,0.8732173415064844
242,0.9026001126100046
243,0.9319828837135246
244,0.9613656548170448
245,0.9907484259205649
246,1.0201311970240852
247,1.0495139681276053
248,1.0788967392311253
249,1.1082795103346454
250,1.1376622814381656
251,1.1450634178511463
252,1.152464554264127
253,1.1598656906771074
254,1.1672668270900877
255,1.1746679635030683
256,1.1820690999160488
257,1.1894702363290295
258,1.19687137274201
259,1.1799748158869847
260,1.1630782590319588
261,1.1461817021769336
262,1.129285145321908
263,1.1123885884668827
264,1.095492031611857
265,1.0785954747568316
266,1.061698917901806
267,1.0448023610467807
268,1.0497708565886983
269,1.0547393521306159
270,1.0597078476725332
271,1.064676343214451
272,1.0696448387563686
273,1.074613334298286
274,1.0795818298402038
275,1.0845503253821211
276,1.089518820924039
277,1.066577125550023
278,1.0436354301760074
279,1.02055023786191
280,0.9976117678070808
281,0.9746732977522516
282,0.9517348276974225
283,0.9287963576425932
284,0.905857887587764
