Time,Methane
0,0.004200727417102534
1,0.0038786557800996506
2,0.003556584143096767
3,0.003234512506093883
4,0.002912440869090999
5,0.002811370633887773
6,0.0027103003986845477
7,0.0026092301634813215
8,0.002508159928278096
9,0.002408506461581683
10,0.002307376738305942
11,0.002206247015030201
12,0.00210511729175446
13,0.002003987568478719
14,0.001753896883925645
15,0.001503806199372571
16,0.001253715514819497
17,0.0010036248302664232
18,0.0007535341457133493
19,0.000503514189379039
20,0.00025338836986044767
21,3.263467303728677e-06
22,-0.0002469326517706576
23,-0.0004370537904075896
24,-0.0006271402231201686
25,-0.0008174564397933363
26,-0.0010077379956411699
27,-0.0011982415743670887
28,-0.001388852358258301
29,-0.0015793481822498944
30,-0.001769648585901224
31,-0.0018080507480887386
32,-0.0018477528630432738
33,-0.0018861820613911575
34,-0.0019246112597390405
35,-0.0019630404580869235
36,-0.0020014696564348068
37,-0.0020401861240200913
38,-0.002078620734168896
39,-0.0021173535211267604
40,-0.0020318477699530517
41,-0.0019463420187793427
42,-0.0018610983941400197
43,-0.0017763312664411876
44,-0.001691253993985528
45,-0.0016056759233154779
46,-0.0015200978526454282
47,-0.0014345197819753785
48,-0.0013489417113053282
49,-0.0014331832064655575
50,-0.0015178526273735662
51,-0.0016021178793006203
52,-0.0016863831312276742
53,-0.001770648383154728
54,-0.0018549136350817822
55,-0.0019391788870088361
56,-0.00202344413893589
57,-0.0021071151677473925
58,-0.0021114408302791094
59,-0.002115766492810826
60,-0.0021200921553425427
61,-0.00212441781787426
62,-0.002128743480405977
63,-0.0021324679396843293
64,-0.0021367923830326943
65,-0.002140815133154854
66,-0.0021505686675120936
67,-0.0021603222018693343
68,-0.002170075736226574
69,-0.002179829270583815
70,-0.0021895828049410546
71,-0.002199336339298295
72,-0.0022087786465671082
73,-0.002218530806800038
74,-0.0022282829670329674
75,-0.0021733423734385275
76,-0.002118401779844088
77,-0.0020631705169742217
78,-0.002007954812206573
79,-0.0019527546589682202
80,-0.001897570050689946
81,-0.0018426604008260578
82,-0.00178775075096217
83,-0.0017328411010982818
84,-0.0017633203088331922
85,-0.0017937995165681025
86,-0.0018242787243030127
87,-0.001854757932037923
88,-0.0018852371397728336
89,-0.0019157163475077442
90,-0.0019461955552426543
91,-0.001976674762977565
92,-0.002007153970712475
93,-0.0019940708163193465
94,-0.001980987661926218
95,-0.001967904507533089
96,-0.0019548213531399602
97,-0.0019417381987468319
98,-0.0019286550443537026
99,-0.0019155718899605744
100,-0.0019024887355674456
101,-0.001921561649300666
102,-0.0019406345630338868
103,-0.0019597074767671073
