Time,Nitric Oxide
0,154.3822453238916
1,157.32336669476047
2,160.26448806562942
3,163.2056094364983
4,166.1467308073672
5,168.23663010336878
6,170.32652939937037
7,172.41642869537193
8,174.50632799137352
9,176.70016856300043
10,178.79129793510324
11,180.88242730720606
12,182.97355667930887
13,185.06468605141168
14,192.18649623074404
15,199.3083064100763
16,206.4301165894086
17,213.5519267687409
18,220.67373694807324
19,227.82754987356
20,234.95036058818022
21,242.14120760727
22,249.2660202360877
23,253.57609364019677
24,257.85113316936054
25,262.1998761071278
26,266.51358619235094
27,270.86660073839664
28,275.222064926843
29,279.54064214858585
30,283.8204938792739
31,282.1567468692838
32,280.6904745142213
33,279.0255561813574
34,277.36063784849335
35,275.6957195156294
36,274.03080118276534
37,272.40423883960005
38,270.7390860442191
39,269.1118309859155
40,271.1957159624413
41,273.2796009389671
42,275.40227496830545
43,277.6037673806839
44,279.7676792594681
45,281.8533267550042
46,283.9389742505404
47,286.02462174607643
48,288.1102692416126
49,291.7135490085518
50,295.4001104530926
51,299.0044063733784
52,302.6087022936641
53,306.21299821394996
54,309.81729413423574
55,313.42159005452146
56,317.0258859748073
57,320.53978714406543
58,318.3192839018889
59,316.0987806597124
60,313.87827741753597
61,311.65777417535946
62,309.43727093318296
63,307.1301789740699
64,304.91030157835394
65,302.64777370720014
66,299.9858625710393
67,297.3239514348785
68,294.6620402987177
69,292.00012916255696
70,289.3382180263961
71,286.67630689023525
72,283.9743824551517
73,281.31284634169253
74,278.65131022823334
75,277.9206114398422
76,277.18991265145115
77,276.4202704606283
78,275.6508450704226
79,274.8816363892409
80,274.112644325542
81,273.38235708251193
82,272.6520698394818
83,271.9217825964517
84,275.51856284614655
85,279.11534309584147
86,282.7121233455365
87,286.3089035952314
88,289.9056838449263
89,293.5024640946212
90,297.0992443443161
91,300.696024594011
92,304.29280484370594
93,299.921866199662
94,295.5509275556181
95,291.1799889115742
96,286.80905026753015
97,282.4381116234863
98,278.0671729794423
99,273.6962343353984
100,269.3252956913545
101,271.97128743077064
102,274.61727917018675
103,277.26327090960285
104,279.909262649019
105,282.5552543884352
106,285.2012461278513
107,287.8472378672674
108,290.49322960668354
109,293.13922134609965
110,291.59120670233733
111,290.043192058575
112,288.4951774148127
113,286.9471627710504
114,285.3991481272881
115,283.85113348352576
116,282.3031188397634
117,280.75510419600107
118,279.2070895522387
119,272.1299399230263
120,265.05279029381387
121,257.9030123873874
122,250.82785519894895
123,243.7526980105105
124,236.5776347263261
125,229.47317576439693
126,222.4020000937911
127,215.3005345336897
128,211.13987341772147
129,207.0094936708861
130,202.85058360286877
