Tempo,Nitric Oxide stde
0,13.817239671384778
1,13.984878746188741
2,14.152517820992705
3,14.320156895796664
4,14.487795970600628
5,14.696715706931741
6,14.90563544326285
7,15.11455517959396
8,15.323474915925072
9,15.541536732687172
10,15.750579435313949
11,15.959622137940721
12,16.168664840567494
13,16.377707543194266
14,16.817616004120428
15,17.25752446504659
16,17.69743292597275
17,18.13734138689891
18,18.577249847825065
19,19.019830008429338
20,19.45980027161188
21,19.905363500093685
22,20.345457419898818
23,21.269649508081518
24,22.19098208011244
25,23.118813264445386
26,24.043785151856014
27,24.972529008438816
28,25.901795512099046
29,26.827809729843814
30,27.750179400590966
31,27.889522067445238
32,28.048597812822674
33,28.188038580681493
34,28.327479348540308
35,28.466920116399137
36,28.606360884257953
37,28.74984978641506
38,28.889310191052903
39,29.032859154929575
40,29.528849765258215
41,30.02484037558685
42,30.52513030004226
43,31.034305712138295
44,31.539465275819943
45,32.03587538765154
46,32.53228549948313
47,33.028695611314724
48,33.52510572314632
49,33.177035757917494
50,32.83822382026697
51,32.4900556965595
52,32.14188757285204
53,31.793719449144568
54,31.445551325437105
55,31.097383201729638
56,30.74921507802218
57,30.392476036086826
58,30.050786756413867
59,29.70909747674091
60,29.36740819706794
61,29.025718917394975
62,28.68402963772202
63,28.334352099774517
64,27.992759124859077
65,27.647269973228124
66,27.668325818420925
67,27.68938166361373
68,27.710437508806535
69,27.731493353999337
70,27.752549199192146
71,27.77360504438495
72,27.790745045552743
73,27.811797924297927
74,27.83285080304311
75,27.336089978397677
76,26.83932915375224
77,26.33885758557543
78,25.838526995305166
79,25.338337323381687
80,24.83828851027879
81,24.34180747207359
82,23.84532643386839
83,23.348845395663187
84,23.749737163240397
85,24.15062893081761
86,24.551520698394818
87,24.952412465972024
88,25.353304233549235
89,25.75419600112644
90,26.15508776870365
91,26.555979536280855
92,26.956871303858065
93,26.742892407068428
94,26.528913510278795
95,26.314934613489154
96,26.10095571669952
97,25.886976819909883
98,25.672997923120242
99,25.459019026330612
100,25.24504012954097
101,25.449024922557022
102,25.65300971557307
103,25.85699450858913
104,26.060979301605176
105,26.264964094621227
106,26.46894888763728
107,26.67293368065333
108,26.876918473669384
109,27.080903266685436
110,26.86814395006101
111,26.65538463343659
112,26.442625316812162
113,26.229866000187737
114,26.017106683563313
115,25.804347366938888
116,25.59158805031446
117,25.378828733690035
118,25.166069417065614
119,24.417883460058196
120,23.66969750305078
121,22.915058417792793
122,22.167083098723722
123,21.419107779654652
124,20.66240678204587
125,19.911945460513977
126,19.164391061714504
127,18.414246026164015
128,17.997017112048756
129,17.582378105954053
130,17.16532484882576
131,16.750744152252377
132,16.336163455678996
133,15.91710600309293
134,15.502641876376591
135,15.08817774966025
136,14.673713622943907
137,14.496218631379168
138,14.318723639814428
139,14.135266916104555
140,13.957846753794266
141,13.780426591483982
142,13.603006429173693
143,13.425586266863407
144,13.248166104553121
145,13.685387389919432
146,14.12260867528574
147,14.559829960652051
148,14.997051246018366
149,15.434272531384673
150,15.871493816750984
