Time,Etileno
0,0.005339173680553835
1,0.005107832927212183
2,0.004876492173870532
3,0.004645151420528881
4,0.004413810667187229
5,0.004354670264261064
6,0.004295529861334898
7,0.004236389458408733
8,0.0041772490554825665
9,0.004120532495200637
10,0.004061357283326309
11,0.004002182071451983
12,0.003943006859577656
13,0.0038838316477033293
14,0.0037321457835838372
15,0.0035804599194643448
16,0.0034287740553448514
17,0.0032770881912253594
18,0.0031254023271058665
19,0.002974134237145266
20,0.0028224270628453693
21,0.0026714705124601832
22,0.002519720699831366
23,0.0025749118060435696
24,0.0026297487702037947
25,0.0026853405735976386
26,0.0027405782480314955
27,0.0027962246835443036
28,0.002851902433877321
29,0.002907202406078514
30,0.0029621010975094974
31,0.002969118591998499
32,0.0029782313667511494
33,0.0029852538017459867
34,0.0029922762367408243
35,0.0029992986717356615
36,0.003006321106730498
37,0.0030137678965403932
38,0.0030207913204712954
39,0.003028241197183099
40,0.003086535680751174
41,0.003144830164319249
42,0.0032035758557543317
43,0.003263257586433672
44,0.0033225213795695895
45,0.0033808651677473926
46,0.0034392089559251954
47,0.0034975527441029977
48,0.0035558965322808004
49,0.003416953998684334
50,0.003278935890204925
51,0.003139954173716864
52,0.003000972457228802
53,0.00286199074074074
54,0.0027230090242526786
55,0.0025840273077646168
56,0.002445045591276556
57,0.0023054137299126022
58,0.0022605996704961944
59,0.0022157856110797862
60,0.0021709715516633776
61,0.0021261574922469694
62,0.002081343432830561
63,0.0020359553797914317
64,0.0019911539511696733
65,0.0019460782725095108
66,0.001961007702785214
67,0.001975937133060918
68,0.001990866563336621
69,0.0020057959936123242
70,0.0020207254238880277
71,0.002035654854163731
72,0.0020502953883723115
73,0.002065222715318869
74,0.002080150042265427
75,0.0019829775993237533
76,0.0018858051563820798
77,0.0017883807578532186
78,0.0016909838028169014
79,0.0015936142796789184
80,0.0014962721768515908
81,0.0013991544635313991
82,0.0013020367502112077
83,0.0012049190368910165
84,0.0012719610673049843
85,0.0013390030977189521
86,0.0014060451281329202
87,0.001473087158546888
88,0.0015401291889608562
89,0.0016071712193748238
90,0.0016742132497887916
91,0.0017412552802027596
92,0.0018082973106167276
93,0.0017909130350605461
94,0.0017735287595043647
95,0.0017561444839481837
96,0.0017387602083920022
97,0.0017213759328358208
98,0.0017039916572796395
99,0.001686607381723458
100,0.0016692231061672766
101,0.0016871285084013893
102,0.0017050339106355014
103,0.0017229393128696143
104,0.0017408447151037265
105,0.0017587501173378388
106,0.0017766555195719512
107,0.001794560921806064
108,0.0018124663240401764
109,0.0018303717262742887
110,0.0017953691448418284
111,0.001760366563409368
112,0.0017253639819769077
113,0.0016903614005444473
114,0.0016553588191119872
115,0.0016203562376795265
116,0.0015853536562470665
117,0.0015503510748146056
118,0.0015153484933821456
119,0.0016437285271754432
120,0.001772108560968741
121,0.0018999535472972976
122,0.002028297438063063
123,0.0021566413288288283
124,0.002284020683832841
125,0.0024119710185706252
126,0.0025402426842993818
127,0.0026681389787593193
128,0.0032369314345991563
129,0.003806099156118144
130,0.00437465159611869
131,0.004943739277176206
132,0.0055128269582337235
133,0.006080204555040069
134,0.006649132222690848
135,0.00721805989034163
136,0.00778698755799241
137,0.007822946936946438
138,0.007858906315900466
139,0.00789153733663575
140,0.00792748155564924
141,0.007963425774662731
142,0.007999369993676222
143,0.008035314212689713
144,0.008071258431703204
145,0.007490756394041596
146,0.006910254356379988
147,0.006329752318718381
148,0.005749250281056773
149,0.005168748243395166
150,0.004588246205733558
151,0.004007744168071951
152,0.003427242130410343
153,0.0028467400927487357
154,0.003054487071388421
155,0.0032622340500281064
156,0.0034699810286677917
157,0.003677728007307476
158,0.0038854749859471615
159,0.004093221964586846
160,0.004300968943226531
161,0.004508715921866217
162,0.004716462900505902
163,0.004553705967772157
164,0.0043909490350384104
165,0.004228192102304666
166,0.004065435169570919
167,0.003902678236837174
168,0.0037399213041034293
169,0.0035771643713696836
170,0.0034144074386359374
171,0.003251650505902192
172,0.003091788838532883
173,0.0029319271711635746
174,0.0027720655037942665
175,0.0026122038364249575
176,0.0024523421690556494
177,0.0022928027055516514
178,0.0021329185699226986
