Time,Carbon Monoxide stde
0,0.012362158941551054
1,0.012392446167257464
2,0.012422733392963872
3,0.01245302061867028
4,0.01248330784437669
5,0.012594574704808176
6,0.012705841565239665
7,0.012817108425671152
8,0.01292837528610264
9,0.01304731703890996
10,0.013158649388959123
11,0.013269981739008287
12,0.013381314089057452
13,0.013492646439106614
14,0.01366019454979632
15,0.01382774266048602
16,0.013995290771175726
17,0.01416283888186543
18,0.014330386992555136
19,0.014499971902219726
20,0.01466754355155943
21,0.014839284710511526
22,0.015006903456998316
23,0.015531029515108926
24,0.016053046380885453
25,0.01657972374525517
26,0.017104292041619795
27,0.017631487341772153
28,0.018158979319077104
29,0.01868413887716336
30,0.019206743351625158
31,0.01934806763285024
32,0.019503112972871488
33,0.019644536750211206
34,0.019785960527550925
35,0.019927384304890636
36,0.020068808082230355
37,0.020213077970238934
38,0.02035452166361545
39,0.020498852112676054
40,0.02107373122065728
41,0.021648610328638497
42,0.02222661994647133
43,0.022811219936114242
44,0.023393016398834697
45,0.023968381731040315
46,0.024543747063245934
47,0.025119112395451552
48,0.025694477727657178
49,0.025040049102527957
50,0.024392497414927612
51,0.023737884235758597
52,0.023083271056589583
53,0.022428657877420564
54,0.02177404469825155
55,0.02111943151908253
56,0.02046481833991352
57,0.019804620101494225
58,0.019552810033126585
59,0.019300999964758953
60,0.01904918989639132
61,0.018797379828023684
62,0.018545569759656048
63,0.018288603614712514
64,0.018036864518742958
65,0.017782619416654922
66,0.017906098821098115
67,0.01802957822554131
68,0.0181530576299845
69,0.018276537034427692
70,0.018400016438870882
71,0.018523495843314076
72,0.01864434817319433
73,0.018767810181271723
74,0.018891272189349117
75,0.018608018690711003
76,0.018324765192072885
77,0.018038970277503872
78,0.0177532558685446
79,0.017467621931183404
80,0.017182068431427767
81,0.01689897446728621
82,0.01661588050314465
83,0.016332786539003098
84,0.016500130245001406
85,0.01666747395099972
86,0.016834817656998024
87,0.017002161362996336
88,0.01716950506899465
89,0.017336848774992964
90,0.017504192480991266
91,0.01767153618698958
92,0.017838879892987887
93,0.01780776497817516
94,0.01777665006336243
95,0.017745535148549704
96,0.017714420233736976
97,0.017683305318924248
98,0.017652190404111517
99,0.017621075489298785
100,0.017589960574486058
101,0.017624000281610812
102,0.017658039988735566
103,0.01769207969586032
104,0.01772611940298507
105,0.01776015911010983
106,0.01779419881723458
107,0.017828238524359333
108,0.017862278231484088
109,0.01789631793860884
110,0.017804645405050216
111,0.017712972871491595
112,0.017621300337932976
113,0.017529627804374354
114,0.017437955270815726
115,0.017346282737257107
116,0.017254610203698485
117,0.01716293767013986
118,0.01707126513658124
119,0.01682247723645921
120,0.016573689336337183
121,0.01632030546171171
122,0.016071587603228226
123,0.01582286974474474
124,0.015567577740256083
125,0.015316809697992873
126,0.015068231804539485
127,0.014817569278379518
128,0.01471717651195499
129,0.014618867791842474
130,0.014518517086204472
131,0.014420222190971733
132,0.014321927295738997
133,0.014219633066216788
134,0.014121365809081967
135,0.014023098551947142
136,0.013924831294812317
137,0.013770985343736821
138,0.013617139392661329
139,0.013457617516863406
140,0.013303836424957843
141,0.013150055333052278
142,0.01299627424114671
143,0.012842493149241147
144,0.012688712057335582
145,0.01284936293798014
146,0.013010013818624698
147,0.013170664699269252
148,0.013331315579913811
149,0.013491966460558367
150,0.013652617341202922
151,0.01381326822184748
152,0.013973919102492037
153,0.014134569983136594
154,0.014019316797826495
