Tempo,Carbon Dioxide
0,7.557801465561643
1,7.629808294704313
2,7.701815123846981
3,7.773821952989652
4,7.845828782132322
5,7.960933459549011
6,8.076038136965701
7,8.19114281438239
8,8.30624749179908
9,8.426308821463689
10,8.541481247366203
11,8.656653673268716
12,8.771826099171232
13,8.886998525073748
14,9.11822259680667
15,9.349446668539589
16,9.580670740272511
17,9.811894812005432
18,10.043118883738353
19,10.275786386625459
20,10.507042942774188
21,10.74131757073262
22,10.972639123102867
23,11.723621310611383
24,12.473061314125088
25,13.226219158582879
26,13.97783499718785
27,14.73173391350211
28,15.486057083567813
29,16.238519681300126
30,16.98880329252849
31,17.129072276159654
32,17.2814993429081
33,17.42186707969586
34,17.562234816483617
35,17.702602553271376
36,17.842970290059135
37,17.98587053466648
38,18.126258038773884
39,18.269218309859156
40,18.66144248826291
41,19.053666666666665
42,19.448630088744892
43,19.84929772641864
44,20.247449722770416
45,20.640005638567803
46,21.03256155436519
47,21.42511747016258
48,21.817673385959964
49,21.220026313316417
50,20.628194914457602
51,20.030379300620414
52,19.43256368678323
53,18.83474807294604
54,18.236932459108854
55,17.639116845271666
56,17.04130123143448
57,16.438849732168027
58,16.256374224696923
59,16.073898717225823
60,15.89142320975472
61,15.70894770228362
62,15.526472194812518
63,15.339671998308907
64,15.157247921364148
65,14.972713822742001
66,15.045865623972569
67,15.119017425203136
68,15.192169226433702
69,15.265321027664271
70,15.338472828894837
71,15.411624630125402
72,15.482594862402557
73,15.555736357659436
74,15.628877852916315
75,15.227561754484832
76,14.82624565605335
77,14.42289759121003
78,14.019663145539905
79,13.616542271041638
80,13.213534919740917
81,12.81244485121562
82,12.411354782690323
83,12.010264714165023
84,12.37270721862386
85,12.7351497230827
86,13.097592227541538
87,13.460034732000375
88,13.82247723645921
89,14.184919740918048
90,14.547362245376888
91,14.909804749835727
92,15.272247254294562
93,15.113009539566317
94,14.953771824838073
95,14.794534110109826
96,14.635296395381582
97,14.476058680653333
98,14.31682096592509
99,14.157583251196842
100,13.998345536468598
101,14.08612245376889
102,14.173899371069181
103,14.261676288369472
104,14.349453205669763
105,14.437230122970055
106,14.525007040270344
107,14.612783957570636
108,14.700560874870925
109,14.788337792171218
110,14.658917675772082
111,14.529497559372945
112,14.400077442973808
113,14.270657326574673
114,14.141237210175536
115,14.0118170937764
116,13.882396977377264
117,13.752976860978125
118,13.623556744578993
119,13.224951304796768
120,12.826345865014549
121,12.424241624436936
122,12.025748404654657
123,11.627255184872375
124,11.224022090896298
125,10.824174052710564
126,10.425905083474023
127,10.026225559150372
128,9.810560009376466
129,9.59630461790905
130,9.380729855153985
131,9.166504593821777
132,8.95227933248957
133,8.735597146070576
134,8.521432119593234
135,8.307267093115891
136,8.09310206663855
137,7.985093183256011
138,7.877084299873474
139,7.765800089586846
140,7.657836741146712
141,7.549873392706576
142,7.441910044266442
143,7.333946695826307
144,7.225983347386172
145,7.485582724376991
146,7.745182101367809
147,8.004781478358629
148,8.264380855349447
149,8.523980232340266
150,8.783579609331087
151,9.043178986321905
152,9.302778363312722
153,9.562377740303543
154,9.378210839422897
155,9.194043938542253
156,9.009877037661607
157,8.825710136780963
158,8.641543235900318
159,8.457376335019672
160,8.27320943413903
161,8.089042533258386
162,7.904875632377739
163,7.9723490490912505
164,8.03982246580476
165,8.107295882518269
166,8.174769299231777
167,8.242242715945288
168,8.309716132658796
169,8.377189549372307
170,8.444662966085815
171,8.512136382799325
172,8.758034754426644
173,9.003933126053962
174,9.24983149768128
175,9.4957298693086
176,9.741628240935919
177,9.988930340829233
178,10.234863273014758
179,10.48079620520028
180,10.865123248512113
181,11.246503350672477
182,11.629518419572554
183,12.014330754805439
184,12.397615463965865
185,12.781008019133372
186,13.164508465831808
187,13.546210543595516
188,13.933794341216217
189,13.864926546512718
190,13.792134844644698
191,13.719343142776681
192,13.646551440908663
193,13.573759739040646
194,13.500968037172628
