,Comments,T,P
15 33 27 ,,170.1,748.4
15 33 28 ,,170.1,748.4
15 33 29 ,,170.1,748.4
15 33 30 ,,170.1,748.4
15 33 31 ,,170.1,748.4
15 33 32 ,,170.1,748.4
15 33 33 ,,170.1,748.4
15 33 34 ,,170.1,748.4
15 33 35 ,,170.1,748.4
15 33 36 ,,170.1,748.4
15 33 37 ,,170.1,748.4
15 33 38 ,,170.1,748.4
15 33 39 ,,170.1,748.4
15 33 40 ,,170.1,748.4
15 33 41 ,,170.1,748.4
15 33 42 ,,170.1,748.4
15 33 43 ,,170.1,748.4
15 33 44 ,,170.1,748.4
15 33 45 ,,170.1,748.4
15 33 46 ,,170.1,748.4
15 33 47 ,,170.1,748.4
15 33 48 ,,170.1,748.4
15 33 49 ,,170.1,748.4
15 33 50 ,,170.1,748.4
15 33 51 ,,170.1,748.4
15 33 52 ,,170.1,748.4
15 33 53 ,,170.1,748.4
15 33 54 ,,170.1,748.4
15 33 55 ,,170.1,748.4
15 33 56 ,,170.1,748.4
15 33 57 ,,170.1,748.4
15 33 58 ,,170.1,748.4
15 33 59 ,,170.1,748.4
15 34 00 ,,170.1,748.4
15 34 01 ,,170.1,748.4
15 34 02 ,,170.1,748.4
15 34 03 ,,170.1,748.4
15 34 04 ,,170.1,748.4
15 34 05 ,,170.1,748.4
15 34 06 ,,170.1,748.4
15 34 07 ,,170.1,748.4
15 34 08 ,,170.1,748.4
15 34 09 ,,170.1,748.4
15 34 10 ,,170.1,748.4
15 34 11 ,,170.1,748.4
15 34 12 ,,170.1,748.4
15 34 13 ,,170.1,748.4
15 34 14 ,,170.1,748.4
15 34 15 ,,170.1,748.4
15 34 16 ,,170.1,748.4
15 34 17 ,,170.1,748.4
15 34 18 ,,170.1,748.4
15 34 19 ,,170.1,748.4
15 34 20 ,,170.1,748.4
15 34 21 ,,170.1,748.4
15 34 22 ,,170.1,748.4
15 34 23 ,,170.1,748.4
15 34 24 ,,170.1,748.4
15 34 25 ,,170.1,748.4
15 34 26 ,,170.1,748.4
15 34 27 ,,170.1,748.4
15 34 28 ,,170.1,748.4
15 34 29 ,,170.1,748.4
15 34 30 ,,170.1,748.4
15 34 31 ,,170.1,748.4
15 34 32 ,,170.1,748.4
15 34 33 ,,170.1,748.4
15 34 34 ,,170.1,748.4
15 34 35 ,,170.1,748.4
15 34 36 ,,170.1,748.4
15 34 37 ,,170.1,748.4
15 34 38 ,,170.1,748.4
15 34 39 ,,170.1,748.4
15 34 40 ,,170.1,748.4
15 34 41 ,,170.1,748.4
15 34 42 ,,170.1,748.4
15 34 43 ,,170.1,748.4
15 34 44 ,,170.1,748.4
15 34 45 ,,170.1,748.4
15 34 46 ,,170.1,748.4
15 34 47 ,,170.1,748.4
15 34 48 ,,170.1,748.4
15 34 49 ,,170.1,748.4
15 34 50 ,,170.1,748.4
15 34 51 ,,170.1,748.4
15 34 52 ,,170.1,748.4
15 34 53 ,,170.1,748.4
15 34 54 ,,170.1,748.4
15 34 55 ,,170.1,748.4
15 34 56 ,,170.1,748.4
15 34 57 ,,170.1,748.4
15 34 58 ,,170,748.4
15 34 59 ,,170,748.4
15 35 00 ,,170,748.4
15 35 01 ,,170,748.4
15 35 02 ,,170,748.4
15 35 03 ,,170,748.4
15 35 04 ,,170,748.4
15 35 05 ,,170,748.4
15 35 06 ,,170,748.4
15 35 07 ,,170,748.4
15 35 08 ,,170,748.4
15 35 09 ,,170,748.4
15 35 10 ,,170,748.4
15 35 11 ,,170,748.4
15 35 12 ,,170,748.4
15 35 13 ,,170,748.4
15 35 14 ,,170,748.4
15 35 15 ,,170,748.4
15 35 16 ,,170,748.4
15 35 17 ,,170,748.4
15 35 18 ,,170,748.4
15 35 19 ,,170,748.4
15 35 20 ,,170,748.4
15 35 21 ,,170,748.4
15 35 22 ,,170,748.4
15 35 23 ,,170,748.4
15 35 24 ,,170,748.4
15 35 25 ,,170,748.4
15 35 26 ,,170,748.4
15 35 27 ,,170,748.4
15 35 28 ,,170,748.4
15 35 29 ,,170,748.4
15 35 30 ,,170,748.4
15 35 31 ,,170,748.4
15 35 32 ,,170,748.4
15 35 33 ,,170,748.4
15 35 34 ,,170,748.4
15 35 35 ,,170,748.4
15 35 36 ,,170,748.4
15 35 37 ,,170,748.4
15 35 38 ,,170,748.4
15 35 39 ,,170,748.4
15 35 40 ,,170,748.4
15 35 41 ,,170,748.4
15 35 42 ,,170,748.4
15 35 43 ,,170,748.4
15 35 44 ,,170,748.4
15 35 45 ,,170,748.4
15 35 46 ,,170,748.4
15 35 47 ,,170,748.4
15 35 48 ,,170,748.4
15 35 49 ,,170,748.4
15 35 50 ,,170,748.4
15 35 51 ,,170,748.4
15 35 52 ,,170,748.4
15 35 53 ,,170,748.4
15 35 54 ,,170,748.4
15 35 55 ,,170,748.4
15 35 56 ,,170,748.4
15 35 57 ,,170,748.4
15 35 58 ,,170,748.4
15 35 59 ,,170,748.4
15 36 00 ,,170,748.4
15 36 01 ,,170,748.4
15 36 02 ,,170,748.4
15 36 03 ,,170,748.4
15 36 04 ,,170,748.4
15 36 05 ,,170,748.4
15 36 06 ,,170,748.4
15 36 07 ,,170,748.4
15 36 08 ,,170,748.4
15 36 09 ,,170,748.4
15 36 10 ,,170,748.4
15 36 11 ,,170,748.4
15 36 12 ,,170,748.4
15 36 13 ,,170,748.4
15 36 14 ,,170,748.4
15 36 15 ,,170,748.4
15 36 16 ,,170,748.4
15 36 17 ,,170,748.4
15 36 18 ,,170,748.4
15 36 19 ,,170,748.4
15 36 20 ,,170,748.4
15 36 21 ,,170,748.4
15 36 22 ,,170,748.4
15 36 23 ,,170,748.4
15 36 24 ,,170,748.4
15 36 25 ,,170,748.4
15 36 26 ,,170,748.4
15 36 27 ,,170,748.4
15 36 28 ,,170,748.4
15 36 29 ,,170,748.4
15 36 30 ,,170,748.4
15 36 31 ,,170,748.4
15 36 32 ,,170,748.4
15 36 33 ,,170,748.4
15 36 34 ,,170,748.4
15 36 35 ,,170,748.4
15 36 36 ,,170,748.4
15 36 37 ,,170,748.4
15 36 38 ,,170,748.4
15 36 39 ,,170,748.4
15 36 40 ,,170,748.4
