Time,Carbon Monoxide
0,0.2801240200971433
1,0.2840233019767728
2,0.2879225838564021
3,0.3621153252398949
4,0.43643078018452497
5,0.5107880499863471
6,0.5851871699470558
7,0.6597210284733263
8,0.7343178644888458
9,0.8089777578467288
10,0.8835762534747552
11,0.958622206193435
12,1.1719972843220248
13,1.385553061175917
14,1.5995156228764633
15,1.8132076299964826
16,2.0267340350242953
17,2.2403207838150094
18,2.453621149387549
19,2.6672984117259118
20,2.8806289214993517
21,2.641181968540844
22,2.401327859551029
23,2.161473750561214
24,1.9216196415713993
25,1.6817655325815843
26,1.4419114235917692
27,1.202057314601954
28,0.962067224379011
29,0.8924371243654331
30,0.8228070243518549
31,0.7530704983209899
32,0.6834502372363387
33,0.6137432525043078
34,0.5441328275684393
35,0.47452240263257045
36,0.40491197769670173
37,0.3353015527608331
38,0.3213974613272831
39,0.30749336989373316
40,0.29358927846018323
41,0.27984980455872666
42,0.26593752943392673
43,0.2520252543091269
44,0.23811297918432703
45,0.2242007040595272
46,0.2101647298588834
47,0.20439324737763448
48,0.19865145337355172
49,0.19290965936946897
50,0.18714142922621027
51,0.18140044620998116
52,0.17558506274343708
53,0.16979856593604273
54,0.16401533510680977
55,0.15825769189433678
56,0.15626093931022608
57,0.1542424256615469
58,0.1522030141303807
59,0.150164752697357
60,0.1481067655814792
61,0.14609167623643793
62,0.14405685926663242
63,0.14204319177713337
64,0.1525865636081193
65,0.16312993543910523
66,0.17367330727009114
67,0.1841907367437892
68,0.19473262380195
69,0.20527451086011084
70,0.2157860098025411
71,0.22629454900994614
72,0.2368334677766644
73,0.2384376090727676
74,0.2400750884133214
75,0.24171256775387523
76,0.243350047094429
77,0.24498752643498276
78,0.2465209006654582
79,0.24815768879480873
80,0.24979447692415926
81,0.25139589205617535
82,0.24777918636690857
83,0.2441978437233664
84,0.2406165010798243
85,0.2370351584362821
86,0.23345381579273994
87,0.2298724731491978
88,0.2262911305056556
89,0.22270978786211348
90,0.21912844521857133
91,0.23285957887543818
92,0.2465907125323051
93,0.260321846189172
94,0.274014435123135
95,0.287703172956287
96,0.3013880613131079
97,0.3151134028719756
98,0.32879251376242896
99,0.3425159257076935
100,0.34450709735566987
101,0.34649770929271223
102,0.3484877617547863
103,0.3505265069809542
104,0.3525652522071223
105,0.35460399743329035
106,0.35664274265945844
107,0.358580706349272
108,0.35252730315725117
109,0.3465242694983598
110,0.34052123583946853
111,0.33451820218057726
112,0.32851516852168594
113,0.3225121348627947
114,0.3165091012039034
115,0.31050606754501214
116,0.30450303388612077
117,0.3028730759855564
118,0.3012431180849921
119,0.29961316018442774
120,0.2979832022838634
121,0.2965276724259025
122,0.2948967551622419
123,0.2932658378985813
124,0.29163492063492064
125,0.29000400337126003
126,0.2805413681696867
127,0.2710787329681135
128,0.26161609776654027
129,0.252153462564967
130,0.24269082736339376
131,0.2332609581343074
132,0.22379699353751056
133,0.21439326869027545
134,0.2049266441821248
135,0.19314725491918483
136,0.18133906359803237
137,0.16957854017292284
138,0.15778921189538805
139,0.14601710179324895
140,0.13423836698086664
141,0.12243577195018993
142,0.11061428872942168
143,0.11038587542798177
144,0.1102350159579461
145,0.11000644184736694
146,0.10977786773678774
147,0.10954929362620856
148,0.1093207195156294
149,0.10910750833215979
150,0.10887890203257758
151,0.10866559859154928
152,0.1278094248826291
153,0.1469532511737089
154,0.16612047471474856
155,0.18534532365652004
156,0.2045575956207123
157,0.22371761347617702
158,0.24287763133164172
159,0.2620376491871064
160,0.28119766704257115
161,0.2617692416126304
162,0.24240915820642975
