Time,T01
532,30.39
533,28.65
534,29.32
535,27.7
536,32.2
537,31.07
538,28.42
539,30.32
540,28.94
541,28.36
542,29.64
543,29.58
544,31.51
545,30.58
546,28.32
547,29.93
548,28.2
549,31.74
550,30.65
551,28.77
552,29.69
553,28.32
554,29.68
555,31.06
556,29.97
557,30.05
558,28.07
559,29.09
560,30.28
561,29.94
562,31.84
563,28.55
564,28.67
565,30.3
566,29.28
567,31.91
568,30.59
569,28.23
570,29.77
571,28.3
572,30.31
573,30.83
574,29.22
575,31.23
576,28.06
577,28.01
578,30.15
579,29.31
580,32.17
581,30.46
582,28.71
583,31.99
584,29.49
585,29.03
586,30.84
587,29.27
588,32.01
589,31.26
590,29.19
591,30.93
592,27.91
593,28.39
594,29.85
595,28.32
596,31.98
597,31.22
598,29.24
599,29.8
600,27.85
601,31.2
602,31.17
603,29.12
604,30.86
605,27.72
606,29.47
607,30.74
608,29.66
609,29.85
610,28.07
611,31.9
612,31.11
613,28.94
614,30.16
615,28.48
616,29.64
617,30.51
618,30.2
619,30.11
620,28.44
621,28.13
622,30.55
623,30.5
624,30.8
625,30.6
626,30.01
627,30.86
628,27.93
629,28.51
630,29.87
631,27.82
632,29.64
633,30.68
634,29.85
635,31.99
636,30.45
637,29.95
638,29.98
639,28.3
640,30.52
641,30.59
642,30.0
643,32.24
644,27.83
645,28.59
646,31.2
647,29.94
648,31.55
649,27.96
650,29.52
651,31.34
652,29.13
653,29.76
654,28.03
655,31.07
656,30.94
657,29.98
658,31.46
659,27.76
660,28.37
661,31.18
662,30.41
663,30.01
664,29.09
665,30.53
666,29.92
667,30.06
668,31.23
669,27.8
670,29.02
671,31.23
672,28.62
673,30.03
674,29.97
675,31.8
676,28.49
677,29.11
678,31.39
679,29.54
680,29.95
681,28.65
682,31.59
683,28.74
684,30.39
685,31.15
686,29.13
687,30.48
688,28.39
689,30.21
690,31.24
691,29.6
692,29.95
693,28.7
694,32.19
695,30.81
696,28.7
697,30.01
698,29.94
699,31.35
700,28.94
701,31.44
702,31.97
703,28.39
704,30.95
705,30.33
706,30.87
707,31.28
708,30.12
709,32.0
710,29.66
711,31.83
712,31.09
713,32.57
714,29.82
715,31.11
716,32.21
717,31.18
718,32.13
719,29.73
720,32.96
721,31.7
722,30.67
723,31.8
724,31.6
725,33.16
726,29.39
727,30.3
728,32.73
729,31.49
730,31.9
731,29.46
732,31.85
733,32.47
734,30.48
735,31.42
736,30.81
737,33.16
738,30.17
739,30.17
740,32.21
741,31.58
742,31.52
743,29.05
744,33.69
745,29.76
746,31.97
747,30.88
748,30.17
749,32.44
750,30.81
751,31.81
752,30.31
753,33.04
754,30.23
755,32.1
756,32.71
757,30.42
758,31.36
759,30.45
760,33.1
761,30.82
762,29.95
763,32.91
764,30.72
765,31.41
766,30.1
767,33.51
768,31.12
769,31.52
770,32.52
771,30.02
772,31.35
773,31.44
774,31.31
775,29.91
776,33.57
777,32.18
778,29.94
779,31.56
780,31.41
781,31.33
782,30.9
783,33.37
784,30.07
785,30.3
786,33.12
787,30.65
788,31.36
789,31.04
790,31.81
791,32.25
792,29.94
793,32.73
794,30.02
795,31.39
796,31.62
797,31.33
798,29.84
799,33.46
800,30.69
801,32.47
802,31.79
803,30.19
804,32.44
805,30.72
806,31.44
807,30.95
808,32.2
809,29.34
810,33.4
811,29.84
812,30.96
813,30.18
814,30.06
815,32.69
816,31.1
817,31.33
818,30.92
819,31.55
820,30.49
821,31.75
822,29.51
823,33.17
824,29.69
825,32.96
826,30.26
827,29.81
828,30.28
829,32.1
830,29.12
831,31.98
832,31.48
833,31.54
834,31.38
835,30.85
836,33.01
837,29.85
838,31.25
839,31.97
840,30.16
841,31.34
842,31.37
843,33.33
844,29.52
845,31.62
846,31.76
847,30.35
848,32.33
849,30.25
850,32.49
851,31.52
852,32.07
853,31.4
854,32.04
855,31.39
856,31.29
857,31.06
858,31.23
859,29.9
860,33.15
861,29.3
862,33.28
863,29.78
864,30.44
865,31.67
866,30.09
867,31.97
868,32.07
869,30.57
870,30.51
871,32.18
872,30.52
873,31.32
874,31.35
875,31.43
876,32.5
877,31.15
878,33.43
879,29.57
880,30.59
881,32.79
882,31.4
883,31.39
884,31.05
885,32.56
886,29.92
887,32.87
888,30.12
889,30.22
890,32.73
891,31.3
892,31.79
893,30.85
894,32.71
895,29.83
896,33.89
897,32.17
898,30.94
899,32.04
900,32.25
901,33.08
902,30.5
903,33.62
904,31.7
905,31.55
906,32.76
907,32.74
908,31.93
909,32.83
910,32.92
911,31.52
912,34.4
913,30.99
914,32.57
915,32.79
916,32.53
917,32.36
918,32.8
919,32.41
920,31.49
921,32.69
922,30.98
923,33.43
924,30.86
925,33.54
926,30.82
927,34.46
928,31.6
929,33.36
930,33.45
931,31.74
932,32.85
933,32.63
934,32.82
935,32.09
936,34.32
937,31.2
938,33.47
939,33.43
940,32.08
941,32.52
942,32.84
943,34.46
944,30.76
945,33.81
946,31.25
947,33.4
948,31.64
949,31.81
950,33.53
951,31.53
952,33.47
953,32.92
954,32.4
955,32.48
956,32.82
957,31.85
958,34.43
959,31.43
960,34.6
961,31.84
962,34.19
963,33.35
964,32.54
965,33.39
966,32.23
967,33.04
968,33.05
969,32.93
970,31.18
971,34.73
972,32.77
973,32.11
974,33.56
975,32.03
976,32.6
977,33.06
978,33.68
979,31.78
980,34.59
981,31.34
982,33.46
983,32.5
984,31.88
985,33.79
986,31.81
987,33.69
988,32.27
989,33.2
990,32.88
991,32.57
992,33.26
993,32.76
994,33.32
995,33.39
996,32.38
997,33.76
998,31.97
999,32.35
1000,31.58
1001,33.72
1002,32.38
1003,31.78
1004,33.62
1005,33.08
1006,32.82
1007,31.84
1008,34.4
1009,31.24
1010,34.15
1011,33.81
1012,32.0
1013,32.67
1014,32.93
1015,34.08
1016,31.3
1017,34.86
1018,32.5
1019,33.26
1020,33.86
1021,32.15
1022,32.78
1023,32.9
1024,34.88
1025,31.93
1026,34.14
1027,32.64
1028,32.29
1029,33.75
1030,33.04
1031,32.97
1032,31.15
1033,33.99
1034,31.75
1035,32.94
1036,34.22
1037,31.77
1038,33.52
1039,32.45
1040,33.98
1041,31.54
1042,33.37
1043,33.64
1044,32.09
1045,32.89
1046,32.52
1047,34.68
1048,32.21
1049,31.89
1050,33.27
1051,33.19
1052,34.05
1053,31.73
1054,33.72
1055,33.84
1056,32.78
1057,33.38
1058,32.59
1059,34.86
1060,31.22
1061,32.9
1062,33.77
1063,32.99
1064,32.69
1065,31.92
1066,34.13
1067,31.3
1068,33.99
1069,32.62
1070,32.04
1071,33.74
1072,33.06
1073,32.87
1074,33.23
1075,33.08
1076,31.32
1077,34.3
1078,31.12
1079,34.99
1080,32.55
