Tempo,mp/A
0,0.4573209278797393
1,0.456868604899184
2,0.456868617759213
3,0.4568686173704965
4,0.456868617382246
5,0.4573209403531179
6,0.45732092749112124
7,0.4573209278797393
8,0.45732092786799744
9,0.45732092786835216
10,0.4573209278683414
11,0.4573209278683418
12,0.4573209278683418
13,0.4573209278683418
14,0.4573209278683418
15,0.4573209278683418
16,0.4583369436366158
17,0.45833691480062305
18,0.45833691567109297
19,0.4583369156448161
20,0.45777275431108283
21,0.4577727703086917
22,0.45777276982552884
23,0.45878773663522887
24,0.4587877078642882
25,0.4587877087324439
26,0.45878770870624747
27,0.45923805026849956
28,0.4592380375293636
29,0.45923803791360907
30,0.4592380379020191
31,0.4587876963429019
32,0.45878770908009875
33,0.45878770869575697
34,0.4583369032537632
35,0.45833691601965715
36,0.458336915634294
37,0.458336915645927
38,0.45878772110087335
39,0.4587877083330334
40,0.4587877087182996
41,0.45878770870667435
42,0.45923805026849956
43,0.4592380375293636
44,0.45923803791360907
45,0.4587876963429016
46,0.45878770908009875
47,0.45878770869575697
48,0.45878770870735447
49,0.45923805026849956
50,0.4592380375293636
51,0.45923803791360907
52,0.4592380379020191
53,0.4596879169852141
54,0.4596879042746579
55,0.4596879046578872
56,0.45878768400840264
57,0.4587877094522892
58,0.4587877086845264
59,0.4587877087076935
60,0.45923805026849956
61,0.4592380375293636
62,0.45923803791360907
63,0.4592380379020191
64,0.4596879169852141
65,0.4596879042746579
66,0.4596879046578872
67,0.45968790464633275
68,0.4592380255658362
69,0.45923803827446
70,0.459238037891135
71,0.45923803790269707
72,0.45923803790234835
73,0.45923803790235884
74,0.45923803790235845
75,0.4596879169852141
76,0.4596879042746579
77,0.4596879046578872
78,0.45968790464633275
79,0.4596879046466811
80,0.4596879046466706
81,0.459687904646671
82,0.45968790464667086
83,0.45968790464667086
84,0.45968790464667086
85,0.45968790464667086
86,0.45968790464667086
87,0.45968790464667086
88,0.45968790464667086
89,0.45968790464667086
90,0.46058628100343757
91,0.4605862556656476
92,0.4605862564289824
93,0.4596878800579323
94,0.4596879053880333
95,0.4596879046243186
96,0.4596879046473448
97,0.46013732265890805
98,0.4601373099768081
99,0.46013731035902633
100,0.4601373103475067
101,0.46058626869036184
102,0.4605862560365954
103,0.4605862564178072
104,0.4601372980661467
105,0.4601373107179945
106,0.4601373103366881
107,0.46013731034818
108,0.4601373103478336
109,0.46013731034784405
110,0.46013731034784383
