Time,Ammonia
0,38.71264254347881
1,38.72577273178357
2,38.73890292008833
3,39.734652188894685
4,40.741857062104835
5,41.749628656301454
6,42.757967449931996
7,43.77303479950539
8,44.78895983167243
9,45.80574363394274
10,46.81678873488516
11,47.84863875500842
12,54.51588840708407
13,61.18878428328282
14,67.87691798682472
15,74.55154342171957
16,81.21846503249508
17,87.8872707528115
18,94.54460007563856
19,101.21623153659428
20,107.87450169171683
21,109.83770138224901
22,111.78565379339014
23,113.73360620453128
24,115.68155861567242
25,117.62951102681356
26,119.57746343795469
27,121.52541584909584
28,123.45591866042629
29,118.79920502194659
30,114.14249138346689
31,109.47030709672592
32,104.81425146497767
33,100.14404519804532
34,95.48864738709838
35,90.83324957615147
36,86.17785176520454
37,81.52245395425761
38,78.85708292887657
39,76.19171190349552
40,73.52634087811447
41,70.90267730997456
42,68.23573749646793
43,65.5687976829613
44,62.90185786945465
45,60.234918055948015
46,57.534114725828175
47,55.85661622335047
48,54.18724515620629
49,52.5178740890621
50,50.84132102996566
51,49.172185749695366
52,47.48293058358456
53,45.80156944801916
54,44.121157295738946
55,42.44768114709203
56,41.35174218127573
57,40.25012458614423
58,39.14329682717115
59,38.03709324852174
60,36.92630876861032
61,35.82655652139678
62,34.722222319009305
63,33.623245190555096
64,33.17844713131732
65,32.73364907207954
66,32.288851012841754
67,31.83956850733534
68,31.39483308688917
69,30.950097666443007
70,30.501066926052314
71,30.05216261977127
72,29.607552423996495
73,29.354343024780295
74,29.105301355353514
75,28.85625968592674
76,28.60721801649996
77,28.358176347073176
78,28.097269276769378
79,27.848332732572416
80,27.599396188375444
81,27.346611802360226
82,27.267265569190116
83,27.191766095311383
84,27.11626662143265
85,27.040767147553915
86,26.965267673675182
87,26.889768199796446
88,26.814268725917714
89,26.738769252038978
90,26.663269778160245
91,26.375786010690675
92,26.088302243221104
93,25.800818475751534
94,25.50974633490527
95,25.218756059377764
96,24.927847614636402
97,24.64048511422285
98,24.349698865374915
99,24.062376764581835
100,24.42370362344755
101,24.78492891467901
102,25.14605268109563
103,25.51065943358794
104,25.875266186080246
105,26.239872938572567
106,26.604479691064874
107,26.96150872890601
108,27.232274250899973
109,27.506827033566623
110,27.781379816233283
111,28.055932598899933
112,28.330485381566593
113,28.605038164233246
114,28.8795909468999
115,29.154143729566556
116,29.42869651223321
117,29.55779129311508
118,29.686886073996952
119,29.815980854878823
120,29.945075635760695
121,30.091871517535232
122,30.221042281219272
123,30.350213044903306
124,30.47938380858735
125,30.608554572271387
126,30.54470080067425
127,30.480847029077115
128,30.416993257479984
129,30.353139485882846
130,30.289285714285715
131,30.229678280415854
132,30.165815538072493
133,30.110413153456996
134,30.046532462057336
135,29.771098471539002
136,29.491441496837666
137,29.219998154787014
138,28.944331763217093
139,28.672619989451473
140,28.400755310917276
141,28.124779706627265
142,27.844807935837903
143,27.500805543830023
144,27.17592227541537
145,26.83167769642354
146,26.487433117431706
147,26.14318853843987
148,25.798943959448042
149,25.458284044500775
150,25.113990987184902
151,24.773186619718313
152,24.285607981220657
153,23.798029342723005
154,23.3137343287787
155,22.835737269823372
156,22.354184287191053
157,21.866193261911476
158,21.378202236631893
159,20.890211211352316
160,20.402220186072736
161,20.0442921248003
162,19.69191577364166
163,19.333886773829665
164,18.975857774017673
165,18.617828774205673
166,18.25979977439368
167,17.90177077458169
168,17.543741774769693
169,17.18086763462081
170,16.893932372427404
171,16.606997110234
172,16.3200618480406
173,16.033126585847196
174,15.746191323653793
175,15.454898886696732
176,15.168044496899661
177,14.879093278850215
178,14.591974308393217
179,14.304855337936214
180,14.017736367479216
181,13.730617397022217
182,13.443498426565215
183,13.156379456108214
184,12.867447403024329
185,12.5803688832535
186,12.293290363482672
187,12.193691885038042
188,12.09409340659341
189,11.992805324693618
190,11.891545774647886
191,11.790314744402199
192,11.689112221909319
193,11.589569839481834
194,11.49002745705435
195,11.390485074626865
196,11.240592908101004
197,11.090700741575143
198,10.940808575049282
199,10.790916408523419
200,10.641024241997558
201,10.491132075471697
202,10.341239908945836
203,10.191347742419973
204,10.041455575894114
205,9.976630262602082
206,9.911804949310053
207,9.846979636018023
208,9.782154322725992
209,9.717329009433962
210,9.652503696141931
211,9.587678382849901
212,9.52285306955787
213,9.334170421477516
214,9.145487773397164
215,8.956805125316812
216,8.768122477236458
217,8.579439829156106
218,8.390757181075752
219,8.2020745329954
220,8.013391884915047
221,7.824709236834694
222,7.923647446728619
223,8.022585656622546
224,8.121523866516473
225,8.2204620764104
226,8.319400286304326
227,8.418338496198253
228,8.51727670609218
229,8.616214915986106
230,8.715153125880033
231,8.779290340749082
232,8.843427555618133
233,8.905057010135135
234,8.969176168355855
235,9.033295326576576
236,9.09357429295061
237,9.156378024760834
238,9.220461100168825
239,9.283238148825433
240,9.27622187060478
241,9.270511251758087
242,9.263497749964843
243,9.257787934186473
244,9.252078118408098
245,9.243768452129904
246,9.23806024181077
247,9.232352031491638
248,9.2266438211725
249,9.587794311471953
250,9.948944801771406
251,10.305748708895448
252,10.66674694350759
253,11.02774517811973
254,11.388743412731872
255,11.749741647344013
256,12.110739881956155
257,12.38316821247892
258,12.655596543001685
259,12.928024873524453
260,13.200453204047216
261,13.472881534569984
262,13.745309865092748
263,14.017738195615514
264,14.290166526138279
265,14.562594856661047
266,14.557513584410719
267,14.552432312160391
268,14.547351039910064
269,14.542269767659736
270,14.537188495409408
271,14.53210722315908
272,14.527025950908753
273,14.521944678658425
274,14.516863406408097
275,14.636059584035976
276,14.755255761663857
277,14.874451939291736
278,14.993648116919621
279,15.112844294547497
280,15.23204047217538
281,15.351236649803258
282,15.470432827431141
283,15.589629005059022
284,15.610033726812816
285,15.63043844856661
286,15.650843170320403
287,15.671247892074199
288,15.691652613827994
289,15.714265635980325
290,15.73467322557976
291,15.7550808151792
292,15.483621538028963
293,15.207732321102208
294,14.933942632170979
295,14.66213783403657
296,14.388155858770572
297,14.114096792346656
298,13.839960602223158
299,13.563838469114955
300,13.293327702702703
301,13.188258002440625
302,13.079444757345346
303,12.970631512250069
304,12.86181826715479
305,12.75300502205951
306,12.644191776964233
307,12.535378531868954
308,12.426565286773677
309,12.317752041678398
310,12.137692434056135
311,11.957632826433866
312,11.777573218811602
313,11.597513611189335
314,11.41745400356707
315,11.237394395944802
316,11.060449530516431
317,10.880339201877934
318,10.700228873239437
319,10.55279102112676
320,10.405353169014084
321,10.257915316901407
322,10.110477464788733
323,9.963039612676058
324,9.81560176056338
325,9.668163908450705
326,9.520726056338027
327,9.424974647887325
328,9.329223239436619
329,9.233471830985916
330,9.137720422535214
331,9.041969014084506
332,8.946217605633803
333,8.850466197183101
334,8.754714788732395
335,8.65896338028169
336,8.76239929577465
337,8.863338496198255
338,8.9654828945516
339,9.06887512318739
340,9.170976210585586
341,9.27043900379907
342,9.372454276871132
343,9.481347760601146
344,9.583379783290443
345,9.587396422306439
346,9.590064058078926
347,9.592730943567133
348,9.596746452885753
349,9.600761962204373
350,9.603426968503936
351,9.607441913212137
352,9.611456857920333
353,9.615471802628532
354,9.515486606936081
355,9.41550141124363
356,9.315516215551181
357,9.215531019858728
