Time,Acetileno
0,0.034318003409939825
1,0.0345764388622875
2,0.03483487431463518
3,0.04433446837053393
4,0.05384920349306927
5,0.06336929224346934
6,0.07289473914147056
7,0.08243715140738164
8,0.09198762654804209
9,0.10154617478687727
10,0.11109714785186904
11,0.12070455135756179
12,0.13574174007850884
13,0.15079166318651666
14,0.16587775931033338
15,0.1809297773239823
16,0.19596261283928662
17,0.21099969671845
18,0.2260090905293868
19,0.24105254574285906
20,0.25606406072307386
21,0.23876971191020582
22,0.2214391702972355
23,0.20410862868426524
24,0.18677808707129495
25,0.16944754545832472
26,0.1521170038453544
27,0.1347864622323841
28,0.1174393214220397
29,0.11170120169393366
30,0.10596308196582759
31,0.10021080016873218
32,0.09447349125307886
33,0.08872364543684104
34,0.08298714710453269
35,0.07725064877222435
36,0.071514150439916
37,0.06577765210760766
38,0.06526046334402652
39,0.06474327458044535
40,0.06422608581686419
41,0.06374639493265519
42,0.06322890176132619
43,0.06271140858999719
44,0.06219391541866818
45,0.061676422247339185
46,0.06112295323537724
47,0.06032553673042886
48,0.059536754630514443
49,0.05874797253060004
50,0.05795100410435361
51,0.05716233341434031
52,0.05634978569648953
53,0.05554576479928598
54,0.054742197702504165
55,0.05394669393797306
56,0.052161421000489656
57,0.05036904182121431
58,0.04857031771114172
59,0.04677260796684388
60,0.04496957352423073
61,0.043180228145280934
62,0.04138555635528616
63,0.03959747182891466
64,0.039353848789008564
65,0.03911022574910246
66,0.038866602709196355
67,0.03861754057906785
68,0.03837395184743381
69,0.038130363115799766
70,0.03788143972148138
71,0.03763258641681367
72,0.03738906627274309
73,0.036838599247455174
74,0.03629339532271242
75,0.03574819139796966
76,0.03520298747322691
77,0.034657783548484145
78,0.034098180054461635
79,0.03355320627067487
80,0.03300823248688809
81,0.032458691559220765
82,0.032722445523349304
83,0.03299076534646775
84,0.03325908516958619
85,0.03352740499270464
86,0.03379572481582308
87,0.034064044638941526
88,0.03433236446205998
89,0.03460068428517841
90,0.03486900410829686
91,0.03426149137381777
92,0.03365397863933871
93,0.03304646590485962
94,0.03243439072970961
95,0.031822487703392424
96,0.031210756753291866
97,0.030603500281214842
98,0.02999202670751979
99,0.029384855608207017
100,0.02880700540514561
101,0.028229317633624074
102,0.027651792225163674
103,0.02707823383716893
104,0.02650467544917419
105,0.025931117061179447
106,0.025357558673184705
107,0.024777036531246386
108,0.024811214810407937
109,0.024848873499252206
110,0.024886532188096475
111,0.024924190876940748
112,0.024961849565785014
113,0.024999508254629283
114,0.025037166943473556
115,0.02507482563231782
116,0.02511248432116209
117,0.02537745689249151
118,0.025642429463820927
119,0.025907402035150337
120,0.026172374606479757
121,0.02645290771175727
122,0.02671803624104509
123,0.026983164770332906
124,0.02724829329962073
125,0.027513421828908553
126,0.02784170295453481
127,0.028169984080161074
128,0.028498265205787326
129,0.028826546331413586
130,0.029154827457039845
131,0.02948725063220006
132,0.029815577877681
133,0.030152377271875586
134,0.030480796795952784
135,0.03194994597680956
136,0.03341481113843992
137,0.03488948360396458
138,0.03635987239876265
139,0.037835995516877635
140,0.03931294931767024
141,0.040784994987336426
142,0.04225150907555931
143,0.04272741428638431
144,0.04323373580212146
145,0.04370997606308082
146,0.04418621632404018
147,0.044662456584999524
148,0.04513869684595888
149,0.04562136084119607
150,0.04609766816880252
151,0.046580535211267614
152,0.047526238262910796
153,0.04847194131455399
154,0.04942460557825046
155,0.05039173712889892
156,0.05135244690348652
157,0.05229894981674655
158,0.053245452730006575
159,0.05419195564326661
160,0.055138458556526646
161,0.05426397307583873
162,0.053404543852227856
163,0.05252981175972927
164,0.051655079667230666
165,0.05078034757473209
166,0.0499056154822335
167,0.04903088338973491
168,0.04815615129723633
169,0.047268089230335486
170,0.04657644972864393
171,0.04588481022695236
172,0.04519317072526078
173,0.04450153122356921
174,0.04380989172187765
175,0.04310609938697858
176,0.042414654823139795
177,0.04171733126673242
178,0.04197836879432623
179,0.04223940632192006
180,0.042500443849513875
181,0.04276148137710769
182,0.043022518904701504
183,0.04328355643229533
184,0.04353845919038227
185,0.043799459941767635
186,0.044060460693153
187,0.04303286254343947
188,0.042005264393725934
189,0.040971893928722344
190,0.039938814553990606
191,0.03890602614655213
192,0.03787352858349761
193,0.03684650919928658
194,0.035819489815075566
195,0.03479247043086454
196,0.03537496949216183
197,0.03595746855345912
198,0.0365399676147564
199,0.037122466676053685
200,0.03770496573735097
201,0.038287464798648266
202,0.03886996385994555
203,0.039452462921242826
204,0.04003496198254012
205,0.03993451932554209
206,0.03983407666854406
207,0.039733634011546046
208,0.039633191354548014
209,0.03953274869754998
210,0.03943230604055195
211,0.039331863383553926
212,0.039231420726555895
213,0.039447390406458276
214,0.03966336008636064
215,0.03987932976626302
216,0.04009529944616539
217,0.04031126912606777
218,0.040527238805970145
219,0.040743208485872526
220,0.04095917816577489
221,0.041175147845677273
222,0.0408248943959448
223,0.04047464094621234
224,0.04012438749647986
225,0.039774134046747386
226,0.039423880597014925
227,0.03907362714728246
228,0.03872337369754999
229,0.03837312024781751
230,0.03802286679808504
231,0.03712045902562658
232,0.03621805125316811
