Tempo,O2
0,12.31
1,12.31
2,11.47
3,11.47
4,11.47
5,11.47
6,10.55
7,10.55
8,10.55
9,10.55
10,10.36
11,10.36
12,10.36
13,10.36
14,10.38
15,10.38
16,10.38
17,10.39
18,10.39
19,10.39
20,10.39
21,10.3
22,10.3
23,10.3
24,10.3
25,9.7
26,9.7
27,9.7
28,8.54
29,8.54
30,8.54
31,8.54
32,6.56
33,6.56
34,6.56
35,6.56
36,5.17
37,5.17
38,5.17
39,3.97
40,3.97
41,3.97
42,3.97
43,3.38
44,3.38
45,3.38
46,3.38
47,3.05
48,3.05
49,3.05
50,3.15
51,3.15
52,3.15
53,3.15
54,3.27
55,3.27
56,3.27
57,3.27
58,3.39
59,3.39
60,3.39
61,3.39
62,3.41
63,3.41
64,3.41
65,3.22
66,3.22
67,3.22
68,3.22
69,3.08
70,3.08
71,3.08
72,3.08
73,3.15
74,3.15
75,3.15
76,3.69
77,3.69
78,3.69
79,3.69
80,4.55
81,4.55
82,4.55
83,4.55
84,5.49
85,5.49
86,5.49
87,6.31
88,6.31
89,6.31
90,6.31
91,7.07
92,7.07
93,7.07
94,7.07
95,7.64
96,7.64
97,7.64
98,8.18
99,8.18
100,8.18
101,8.18
102,8.57
103,8.57
104,8.57
105,8.57
106,8.69
107,8.69
108,8.69
109,8.64
110,8.64
111,8.64
112,8.64
113,8.63
114,8.63
115,8.63
116,8.63
117,9.44
118,9.44
119,9.44
120,9.44
121,9.98
122,9.98
123,9.98
124,9.98
125,10.77
126,10.77
127,10.77
128,10.77
129,11.0
130,11.0
131,11.0
132,11.0
133,11.21
134,11.21
135,11.21
136,11.21
137,11.36
138,11.36
139,11.36
140,11.32
141,11.32
142,11.32
143,11.32
144,11.28
145,11.28
146,11.28
147,11.12
148,11.12
149,11.12
150,11.12
151,10.91
152,10.91
153,10.91
154,10.47
155,10.47
156,10.47
157,10.47
158,9.33
159,9.33
160,9.33
161,9.33
162,8.31
163,8.31
164,8.31
165,7.46
166,7.46
167,7.46
168,7.46
169,6.89
170,6.89
171,6.89
172,6.89
173,6.08
174,6.08
175,6.08
176,5.2
177,5.2
178,5.2
179,5.2
180,4.37
181,4.37
182,4.37
183,4.37
184,4.18
185,4.18
186,4.18
187,4.52
188,4.52
189,4.52
190,4.52
191,4.87
192,4.87
193,4.87
194,4.87
195,5.45
196,5.45
197,5.45
198,5.81
199,5.81
200,5.81
201,5.81
202,5.8
203,5.8
204,5.8
205,5.8
206,5.68
207,5.68
208,5.68
209,6.21
210,6.21
211,6.21
212,6.21
213,7.01
214,7.01
215,7.01
216,7.35
217,7.35
218,7.35
219,7.35
220,7.37
221,7.37
222,7.37
223,7.37
224,7.26
225,7.26
226,7.26
227,7.26
228,7.14
229,7.14
230,7.14
231,7.21
232,7.21
233,7.21
234,7.21
235,7.28
236,7.28
237,7.28
238,7.14
239,7.14
240,7.14
241,7.14
242,7.09
243,7.09
244,7.09
245,7.09
246,7.13
247,7.13
248,7.13
249,7.13
250,7.13
251,7.13
252,7.13
253,7.73
254,7.73
255,7.73
256,8.33
257,8.33
258,8.33
259,8.33
260,8.87
261,8.87
262,8.87
263,8.87
264,9.47
265,9.47
266,9.47
267,9.88
268,9.88
269,9.88
270,9.88
271,10.46
272,10.46
273,10.46
274,10.46
275,11.03
276,11.03
277,11.03
278,11.17
279,11.17
280,11.17
281,11.17
282,11.11
283,11.11
284,11.11
285,11.11
286,10.97
287,10.97
288,10.97
289,10.93
290,10.93
291,10.93
292,10.93
293,11.02
294,11.02
295,11.02
296,11.02
297,11.23
298,11.23
299,11.23
300,11.34
301,11.34
302,11.34
303,11.34
304,11.29
305,11.29
306,11.29
307,11.19
308,11.19
309,11.19
310,11.19
311,10.8
312,10.8
313,10.8
314,10.8
315,10.25
316,10.25
317,10.25
318,10.25
319,9.46
320,9.46
321,9.46
322,8.9
323,8.9
324,8.9
325,8.9
326,8.49
327,8.49
328,8.49
329,8.49
330,8.42
331,8.42
332,8.42
333,8.42
334,8.27
335,8.27
336,8.27
337,7.89
338,7.89
339,7.89
340,7.89
341,7.7
342,7.7
343,7.7
344,7.78
