Tempo,valor,erro
0,0.0039927295023886,5.544584865738788e-10
1,0.004000409269206,5.54469059571952e-10
2,0.0040080890360235,5.544796325700252e-10
3,0.0052793194673933,7.462137517470085e-10
4,0.0065523922697091,9.382116728845947e-10
5,0.0078261813881326,1.1303176249244951e-09
6,0.0091006874274051,1.3225316990705103e-09
7,0.0103773715660053,1.5150672262105856e-09
8,0.0116551344406752,1.707765436516812e-09
9,0.0129339774192122,1.900626536265394e-09
10,0.0142118987852172,2.093355685473174e-09
11,0.0154970943221316,2.2871607296324253e-09
12,0.0186899928787401,2.0338922415128587e-09
13,0.0218855953720231,1.7804092705522575e-09
14,0.0250874476623441,1.526927150950763e-09
15,0.0282849259193859,1.2727987893631811e-09
16,0.0314797632480372,1.0183828912011258e-09
17,0.0346755034556849,7.638950936754523e-10
18,0.0378667954842669,5.092633957836347e-10
19,0.0410638899559682,2.546676831515533e-10
20,0.0442556329868154,0.0
21,0.0404928879242881,2.8558720900020786e-10
22,0.0367238876486177,5.711744180004157e-10
23,0.0329548873729474,8.567616270006235e-10
24,0.029185887097277,1.1423488360008314e-09
25,0.0254168868216067,1.4279360450010396e-09
26,0.0216478865459364,1.713523254001247e-09
27,0.017878886270266,1.999110463001455e-09
28,0.014107891946264,2.284374792172381e-09
29,0.0131202288487596,2.154781057343797e-09
30,0.0121325657512552,2.025187322515213e-09
31,0.0111433278476672,1.8953257349824204e-09
32,0.0101558043097357,1.7657503121129753e-09
33,0.0091669854509831,1.635943725794924e-09
34,0.0081796014331898,1.5063866097102872e-09
35,0.0071922174153965,1.3768294936256502e-09
36,0.0062048333976031,1.2472723775410138e-09
37,0.0052174493798098,1.1177152614563771e-09
38,0.0051462263479353,1.0555220824330015e-09
39,0.0050750033160608,9.933289034096263e-10
40,0.0050037802841862,9.311357243862507e-10
41,0.0049354604643496,8.694539888857494e-10
42,0.0048641955119148,8.072242041066215e-10
43,0.00479293055948,7.449944193274938e-10
44,0.0047216656070453,6.827646345483657e-10
45,0.0046504006546105,6.20534849769238e-10
46,0.0045764420929391,5.579766502459985e-10
47,0.0045058013753742,5.578014618770236e-10
48,0.0044358071392464,5.577050949023485e-10
49,0.0043658129031185,5.576087279276733e-10
50,0.0042952119129417,5.574336162692477e-10
51,0.0042252275630054,5.573372629057274e-10
52,0.0041534832625341,5.570048905207996e-10
53,0.004082375829355,5.567513701827944e-10
54,0.0040113085301864,5.56497992935145e-10
55,0.0039408372398253,5.56323235626079e-10
56,0.0037489387335212,4.867828311728191e-10
57,0.0035565384582472,4.1718356899255686e-10
58,0.0033637180253604,3.4755491945050475e-10
59,0.0031710063309103,2.7796553602972275e-10
60,0.0029779835530528,2.0838601469759272e-10
61,0.0027859087895983,1.389044347653109e-10
62,0.0025935227591344,6.943265062187713e-11
63,0.0024015833034382,0.0
64,0.0024309094698287,0.0
65,0.0024602356362192,0.0
66,0.0024895618026097,0.0
67,0.0025185332460078,0.0
68,0.002547855282534,0.0
69,0.0025771773190602,0.0
70,0.002606132346384,0.0
71,0.002635079220807,0.0
72,0.0026643930010931,0.0
73,0.0026647356633517,6.14810571923026e-11
74,0.0026654533809314,1.229621143846052e-10
75,0.0026661710985111,1.8444317157690775e-10
76,0.0026668888160909,2.459242287692104e-10
77,0.0026676065336706,3.0740528596151305e-10
78,0.0026671979007854,3.6873062920567117e-10
79,0.0026679153154029,4.301857340732831e-10
80,0.0026686327300203,4.91640838940895e-10
81,0.0026689746029742,5.530181306481514e-10
82,0.0026834518681786,4.91502523892663e-10
83,0.0026983045693942,4.3006470840608004e-10
84,0.0027131572706097,3.6862689291949726e-10
85,0.0027280099718252,3.0718907743291444e-10
86,0.0027428626730408,2.4575126194633146e-10
87,0.0027577153742563,1.8431344645974863e-10
88,0.0027725680754718,1.2287563097316578e-10
89,0.0027874207766873,6.143781548658289e-11
90,0.0028022734779029,0.0
91,0.0031754631187613,1.2394355401465693e-10
92,0.0035486527596198,2.4788710802931385e-10
93,0.0039218424004782,3.718306620439708e-10
94,0.0042944279580678,4.957044869143156e-10
95,0.004666908724332,6.195434717270399e-10
96,0.0050392847434741,7.433476311784556e-10
97,0.0054123169646303,8.672389030415314e-10
98,0.005784535837103,9.909908342361266e-10
99,0.0061575156145334,1.1148646885156422e-09
100,0.0061996241831299,9.753694775422118e-10
101,0.0062417209151647,8.35913478153032e-10
102,0.0062838058156277,6.964966738170816e-10
103,0.0063267678550615,5.571973390536652e-10
104,0.0063697298944952,4.1789800429024903e-10
