Time,Ar/Ar Esteq
0,3.7868419365864265
1,3.7325785537317717
2,3.6755179609407436
3,3.6158862983257607
4,3.603359296961658
5,3.539405264380224
6,3.406292388359403
7,3.0700228604175814
8,3.0307419253627628
9,2.988081915630846
10,2.975641581167387
11,2.9601063670189216
12,2.909836265571671
13,2.860203645761183
14,2.8430956817757487
15,2.7988995080362162
16,2.759277607999481
17,2.72517591159375
18,2.718537361068265
19,2.7145241009559653
20,2.7127659094360324
21,2.6080227923248573
22,2.5652656934215785
23,2.5270575323464524
24,2.493092528721925
25,2.463715224714798
26,2.4392619365124375
27,2.420001753745635
28,2.4062304131996792
29,2.397371449422858
30,2.3712063441154836
31,2.370158871844054
32,2.3714833734719707
33,2.3745420759985905
34,2.3628218982725637
35,2.367869990010805
36,2.3738312359168887
37,2.3804955900386013
38,2.3573794695421624
39,2.3365252837719157
40,2.3178055112837583
41,2.3009826133112523
42,2.2852467037793938
43,2.2701131904869665
44,2.255189852377751
45,2.240047788409204
46,2.2243465913342106
47,2.2077110140041523
48,2.1903809337979063
49,2.1726550999177534
50,2.1549553733293085
51,2.137425367002084
52,2.1203419595741178
53,2.103984067385665
54,2.088218257297878
55,2.072923037282305
56,2.057843821742416
57,2.0427225838920964
58,2.02721591554187
59,2.011679024589035
60,1.9964049650838585
61,1.982117864466702
62,1.9692732357413003
63,1.9584679837055305
64,1.95041160115864
65,1.945189756966791
66,1.9430635720438707
67,1.9443524545836963
68,1.9494204620874815
69,1.9586198643939599
70,1.9723383176165763
71,1.9909391556314708
72,2.0149740377602074
73,2.0446746440080297
74,2.080472127362628
75,2.1228772390919657
76,2.172656113810774
77,2.230394874347774
78,2.2957784221908555
79,2.3680727960917185
80,2.4464574014082605
81,2.529685030337453
82,2.6161712145443805
83,2.704255529662251
84,2.7934984376527736
85,2.8834624530875166
86,2.974159093958147
87,3.065749919752544
88,3.158098357573187
89,3.2510808786092475
90,3.344413906035777
91,3.4380467903755556
92,3.5318905950851094
93,3.625779263337021
94,3.7187372631698024
95,3.8099010210195563
96,3.898383770099116
97,3.983234989776647
98,4.063336201634133
99,4.137743103593829
100,4.206117764329994
101,4.268372094545205
102,4.323778568889738
103,4.371924636783782
