Time,Carbon Dioxide stde
0,1.104459617284563
1,1.1192832298842494
2,1.134106842483936
3,1.1794031820362054
4,1.2250439737109862
5,1.2707104459550032
6,1.3164026204487704
7,1.3623122588351217
8,1.4082606886354034
9,1.4542479590356856
10,1.5000626939783808
11,1.5465572894804516
12,1.5706486265104238
13,1.5947603655195315
14,1.619121157280876
15,1.643045153228688
16,1.6667471552282966
17,1.6904558555469664
18,1.713929039805833
19,1.7376477585791241
20,1.7611242601336747
21,1.7567304202348786
22,1.752087658179173
23,1.7474448961234668
24,1.7428021340677615
25,1.738159372012056
26,1.73351660995635
27,1.7288738479006442
28,1.7239874127123997
29,1.74909075963766
30,1.7741941065629192
31,1.7990432076985095
32,1.8241430074502598
33,1.848981540911081
34,1.8740777944916311
35,1.899174048072182
36,1.9242703016527325
37,1.949366555233283
38,1.9729174953182744
39,1.9964684354032658
40,2.0200193754882574
41,2.0447731232928326
42,2.068337925025902
43,2.091902726758972
44,2.115467528492041
45,2.139032330225111
46,2.161325015998205
47,2.1461028792008396
48,2.13118605742198
49,2.11626923564312
50,2.1010556126758613
51,2.086140897792733
52,2.0703489164195963
53,2.0548602955014044
54,2.039380416573289
55,2.0241948124834024
56,1.956771531005179
57,1.8890817312240176
58,1.8211541635212822
59,1.7532649026380611
60,1.685176400126003
61,1.617601171787582
62,1.5498266371402767
63,1.4822990250621377
64,1.4618438111019056
65,1.4413885971416736
66,1.4209333831814417
67,1.400280946552681
68,1.37982861320278
69,1.359376279852879
70,1.3387354187718452
71,1.318100369562157
72,1.2976537949996276
73,1.2764164003847598
74,1.255361671000044
75,1.2343069416153287
76,1.213252212230613
77,1.1921974828458972
78,1.1706483918092352
79,1.1496025500266238
80,1.1285567082440122
81,1.107355054578106
82,1.134867392272706
83,1.1625354980154956
84,1.1902036037582848
85,1.2178717095010743
86,1.245539815243864
87,1.2732079209866534
88,1.300876026729443
89,1.328544132472232
90,1.3562122382150215
91,1.299332718840244
92,1.2424531994654664
93,1.1855736800906886
94,1.1285354132952758
95,1.0715131887630598
96,1.0145069997270562
97,0.9576514734003837
98,0.9006693062826143
99,0.8438217731411419
100,0.8331667551736219
101,0.8225147322919681
102,0.8118657032334962
103,0.8013322608434182
104,0.7907988184533404
105,0.7802653760632625
106,0.7697319336731847
107,0.7589851733591724
108,0.7664605905902183
109,0.7740426218363451
110,0.7816246530824719
111,0.7892066843285986
112,0.7967887155747256
113,0.8043707468208522
114,0.8119527780669789
115,0.8195348093131057
116,0.8271168405592324
117,0.839072204939006
118,0.8510275693187797
119,0.8629829336985533
120,0.8749382980783267
121,0.8874156716767336
122,0.8993780727630285
123,0.9113404738493234
124,0.9233028749356185
125,0.9352652760219133
126,0.9611193519689095
127,0.9869734279159058
128,1.012827503862902
129,1.0386815798098983
130,1.0645356557568948
131,1.0905429193593708
132,1.1164006275170926
133,1.142579375117107
134,1.1684443507588531
135,1.2551860066760363
136,1.3417634399156713
137,1.428742487347111
138,1.515557332677165
139,1.602621967299578
140,1.6897355972144064
141,1.776648242929506
142,1.8633231321232586
143,1.8772758078889353
144,1.8925599596357832
145,1.9065224584624045
146,1.9204849572890264
147,1.934447456115648
148,1.9484099549422693
149,1.9626488053325821
150,1.9766132704313948
151,1.9908580985915494
152,2.002887441314554
153,2.0149167840375584
154,2.027231652345401
155,2.0401248355881245
156,2.0527395216614983
157,2.0647790386241893
158,2.076818555586881
159,2.0888580725495722
160,2.1008975895122637
161,2.071344211070388
162,2.042366633765745
163,2.0128049210377887
164,1.9832432083098321
165,1.953681495581876
166,1.9241197828539196
167,1.8945580701259634
168,1.8649963573980068
169,1.8349171835353821
170,1.8218076455455317
171,1.808698107555681
172,1.7955885695658302
173,1.7824790315759795
174,1.7693694935861288
175,1.7557649556087933
176,1.742659112528185
177,1.7293095674228545
178,1.7353314780893334
179,1.7413533887558121
180,1.747375299422291
181,1.7533972100887696
182,1.7594191207552483
183,1.765441031421727
184,1.77121336996337
185,1.7772344322344324
186,1.7832554945054946
187,1.7376324316708933
188,1.6920093688362918
189,1.6461543879419638
190,1.6003123239436619
191,1.5544831713843121
192,1.5086669248099125
193,1.4630695578710222
194,1.4174721909321317
195,1.3718748239932412
196,1.41322608654839
197,1.4545773491035388
198,1.4959286116586876
199,1.5372798742138365
200,1.578631136768985
201,1.619982399324134
202,1.6613336618792824
203,1.7026849244344315
204,1.7440361869895802
205,1.725044353703182
206,1.706052520416784
207,1.6870606871303855
208,1.6680688538439872
209,1.6490770205575893
210,1.6300851872711912
211,1.6110933539847927
212,1.5921015206983944
213,1.603057120060077
214,1.6140127194217586
215,1.624968318783441
216,1.6359239181451235
217,1.6468795175068054
218,1.6578351168684873
219,1.6687907162301696
220,1.6797463155918517
221,1.6907019149535338
222,1.675047052473481
223,1.6593921899934287
224,1.6437373275133764
225,1.6280824650333237
226,1.612427602553271
227,1.5967727400732188
228,1.5811178775931662
229,1.5654630151131137
230,1.5498081526330607
231,1.492509844644701
232,1.4352115366563407
233,1.3775253026463965
234,1.3202431259384384
235,1.2629609492304807
236,1.2051698325594484
237,1.1477503399924969
238,1.0905003986118926
239,1.0331051132367421
240,1.0093834857008908
241,0.9858071612751993
242,0.9620955210237659
243,0.938522512070501
244,0.9149495031172361
245,0.8911258610993957
246,0.867559480294297
247,0.8439930994891982
248,0.8204267186840997
249,0.810024172290173
250,0.7996216258962464
251,0.788886356450253
252,0.7784881956155144
253,0.7680900347807758
254,0.757691873946037
255,0.7472937131112984
256,0.7368955522765598
257,0.7646659991568295
258,0.7924364460370995
259,0.8202068929173693
260,0.8479773397976392
261,0.8757477866779089
262,0.9035182335581786
263,0.9312886804384485
264,0.9590591273187185
265,0.9868295741989882
266,0.9684041830616451
267,0.949978791924302
268,0.931553400786959
269,0.9131280096496158
270,0.8947026185122728
271,0.8762772273749299
272,0.8578518362375867
273,0.8394264451002437
274,0.8210010539629007
275,0.8257622962338391
