Time,Methane stde
0,0.0013956406633256428
1,0.0013794847007550387
2,0.0013633287381844348
3,0.0015354694409986686
4,0.0017080904166701136
5,0.0018808085204752884
6,0.0020536238344134616
7,0.002226849860683294
8,0.002400222254529188
9,0.002573741201539788
10,0.002747019710773261
11,0.002921631460550657
12,0.0035532842374435673
13,0.00418547193553074
14,0.004818875674547464
15,0.005451454815610381
16,0.006083531877358178
17,0.006715787567638331
18,0.007347183637757773
19,0.007979707262951817
20,0.00861119256371995
21,0.007870070339716278
22,0.007127730986021617
23,0.006385391632326961
24,0.005643052278632301
25,0.004900712924937644
26,0.004158373571242986
27,0.0034160342175483275
28,0.002673317009859342
29,0.0025636910305755997
30,0.0024540650512918562
31,0.00234410779617485
32,0.0022344973073502397
33,0.002124586608463674
34,0.0020149916057211246
35,0.0019053966029785752
36,0.0017958016002360257
37,0.0016862065974934761
38,0.0016846383390400526
39,0.001683070080586629
40,0.001681501822133205
41,0.0016809223415277387
42,0.0016793531600263728
43,0.0016777839785250075
44,0.0016762147970236416
45,0.001674645615522276
46,0.0016720922714126623
47,0.0016583031595107317
48,0.001644750252195807
49,0.0016311973448808823
50,0.001617415956713194
51,0.0016038649636507145
52,0.0015896403941500362
53,0.0015756502301880525
54,0.0015616679624664879
55,0.0015479119383630994
56,0.0015187150465056933
57,0.0014893080378257945
58,0.0014597034424850886
59,0.001430115542249608
60,0.0014003469520421613
61,0.0013709897706363086
62,0.0013414518710692473
63,0.0013121153891880696
64,0.0013074419661695666
65,0.0013027685431510631
66,0.0012980951201325603
67,0.0012932395506984654
68,0.0012885667858158613
69,0.0012838940209332571
70,0.0012790411347811442
71,0.0012741896150618493
72,0.0012695181658951068
73,0.0012665942676592032
74,0.0012638490741200758
75,0.0012611038805809486
76,0.0012583586870418212
77,0.001255613493502694
78,0.0012523394404025858
79,0.001249595405661913
80,0.0012468513709212403
81,0.0012439323070111558
82,0.0012490503152590335
83,0.0012543433034347513
84,0.0012596362916104688
85,0.0012649292797861868
86,0.0012702222679619043
87,0.0012755152561376218
88,0.0012808082443133391
89,0.0012861012324890569
90,0.0012913942206647744
91,0.0014176967744560193
92,0.0015439993282472645
93,0.0016703018820385096
94,0.0017963517488486255
95,0.001922366163579762
96,0.0020483451411863955
97,0.0021745944177474132
98,0.0023005202240856983
99,0.002426751751556802
100,0.0024427957691130994
101,0.0024588352767558183
102,0.002474870276386271
103,0.002491250812171412
104,0.0025076313479565518
105,0.0025240118837416923
106,0.002540392419526833
107,0.00255605455886485
108,0.002464087563452126
109,0.0023724796148941385
110,0.0022808716663361515
111,0.0021892637177781636
112,0.0020976557692201758
113,0.0020060478206621883
114,0.0019144398721042005
115,0.0018228319235462128
116,0.0017312239749882256
117,0.0017051773586425718
118,0.001679130742296919
119,0.0016530841259512652
120,0.001627037509605612
121,0.0016019332069110831
122,0.0015758712600084282
123,0.0015498093131057732
124,0.0015237473662031184
125,0.0014976854193004634
126,0.0014642612492391251
127,0.0014308370791777873
128,0.001397412909116449
129,0.001363988739055111
130,0.0013305645689937727
131,0.001297322632762012
132,0.0012638937669757423
133,0.001230810731684467
134,0.0011973724704890387
135,0.0012155319307800422
136,0.0012335231026001404
137,0.001251866169337832
