Time,Nitric Oxide
0,243.4131540289391
1,247.89358783144922
2,252.3740216339594
3,252.5537391837095
4,252.8045391288283
5,253.05548019081033
6,253.30656248879177
7,253.59347839797522
8,253.88063673716212
9,254.16803781374483
10,254.419822904923
11,254.77949432586462
12,251.24834118283323
13,247.71419764899608
14,244.2115433388438
15,240.63692420137997
16,237.02679209674832
17,233.41563974848094
18,229.77099484798865
19,226.15830675218083
20,222.51314678033452
21,232.87071045520682
22,243.19682350862607
23,253.52293656204532
24,263.84904961546454
25,274.17516266888384
26,284.501275722303
27,294.8273887757223
28,305.11037668756023
29,309.3712591444152
30,313.63214160127023
31,317.8481048799341
32,322.1083852621167
33,326.3225553496335
34,330.5822338272693
35,334.841912304905
36,339.1015907825408
37,343.3612692601766
38,342.07466898952293
39,340.78806871886934
40,339.5014684482157
41,338.4139351982669
42,337.1265776584723
43,335.8392201186777
44,334.551862578883
45,333.2645050390883
46,331.78186682429407
47,328.3968491797058
48,325.05870000055404
49,321.7205508214022
50,318.33743237648173
51,314.9997546873269
52,311.53007273006625
53,308.10680975410634
54,304.685478914721
55,301.30858225584257
56,298.0937965834966
57,294.8374142105002
58,291.5408304178038
59,288.2461056882926
60,284.9130815672873
61,281.66222713201097
62,278.37307016626204
63,275.1245104598177
64,271.0217140223695
65,266.91891758492125
66,262.8161211474731
67,258.67689134504667
68,254.5746726848745
69,250.4724540247024
70,246.33554510328486
71,242.19980101614067
72,238.0987374224644
73,234.65715306068935
74,231.24908485001544
75,227.84101663934155
76,224.43294842866763
77,221.02488021799374
78,217.52495180807654
79,214.11832220787562
80,210.71169260767485
81,207.27589797328613
82,209.61314501226008
83,211.97954888032018
84,214.34595274838028
85,216.71235661644036
86,219.07876048450046
87,221.44516435256057
88,223.81156822062064
89,226.17797208868078
90,228.54437595674085
91,219.85695158581092
92,211.16952721488087
93,202.4821028439509
94,193.7674218375114
95,185.05519187340246
96,176.34541191771984
97,167.6616520958777
98,158.95554194474082
99,150.27300295234082
100,148.9422455591915
101,147.61186223698897
102,146.28185282803045
103,144.97258707593494
104,143.6633213238394
105,142.35405557174388
106,141.04478981964837
107,139.6962614870337
108,142.61775984041603
109,145.5588812112849
110,148.5000025821538
111,151.4411239530227
112,154.3822453238916
113,157.32336669476047
114,160.26448806562942
115,163.2056094364983
116,166.1467308073672
117,168.23663010336878
118,170.32652939937037
119,172.41642869537193
120,174.50632799137352
121,176.70016856300043
122,178.79129793510324
123,180.88242730720606
124,182.97355667930887
125,185.06468605141168
126,192.18649623074404
127,199.3083064100763
128,206.4301165894086
129,213.5519267687409
130,220.67373694807324
131,227.82754987356
132,234.95036058818022
